1	Gott	Gott	N	NN	Masc|Nom|Sg	2	subj	258	258
2	sei	sein	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
3	Lob	Lob	N	NN	Neut|Nom|Sg	2	pred	341	341
4	und	und	K	KON	_	3	kon	_	_
5	Dank	Dank	N	NN	Masc|Nom|Sg	4	cj	342	342
6	!	!	$	$.	_	0	root	_	_

1	Jetzt	jetzt	A	ADV	_	2	adv	_	_
2	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	343	343
4	erlöst	erlösen	V	VVPP	_	2	aux	_	_
5	!	!	$	$.	_	0	root	_	_

1	Vier	vier	C	CARD	_	2	attr	_	_
2	Monate	Monat	N	NN	Masc|_|Pl	8	obja	_	_
3	hab	hab	V	VAFIN	1|Sg|_|_	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	343	343
5	mit	mit	P	APPR	Dat	8	pp	_	_
6	diesem	diese	A	PDAT	Masc|Dat|Sg	7	det	153	153
7	Menschen	Mensch	N	NN	Masc|Dat|Sg	5	pn	153	153
8	durchgemacht	durchmachen	V	VVPP	_	3	aux	_	_
9	...	...	$	$.	_	0	root	_	_
10	einfach	einfach	A	ADJD	Pos|	11	adv	_	_
11	schauderhaft	schauderhaft	V	VVPP	_	0	root	_	_
12	!	!	$	$.	_	0	root	_	_

1	So	so	A	ADV	_	2	adv	_	_
2	viel	viel	P	PIS	_	0	root	_	_
3	gut	gut	A	ADJD	Pos|	8	pred	_	_
4	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	4	subj	343	343
6	diesem	diese	A	PDAT	Masc|Dat|Sg	7	det	51	51
7	Kerl	Kerl	N	NN	Masc|Dat|Sg	8	objd	51	51
8	gewesen	sein	V	VAPP	_	4	aux	_	_
9	!	!	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	jetzt	jetzt	A	ADV	_	3	adv	_	_
3	muß	müssen	V	VMFIN	1|Sg|Pres|Ind	1	cj	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	343	343
5	schon	schon	A	ADV	_	7	adv	_	_
6	alles	alle	P	PIS	_|_|Sg	7	obja	_	_
7	heraussagen	heraussagen	V	VVINF	_	3	aux	_	_
8	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	wenn	wenn	K	KOUS	_	8	konj	_	_
3	es	es	P	PPER	3|Sg|Neut|Nom	8	subj	_	_
4	mich	ich	P	PPER	1|Sg|_|Acc	8	obja	343	343
5	gleich	gleich	A	ADJD	Pos|	8	adv	_	_
6	meinen	meine	A	PPOSAT	Masc|Dat|Sg	7	det	343	343
7	Dienst	Dienst	N	NN	Masc|Dat|Sg	8	objd	_	_
8	kostet	kosen	V	VVFIN	3|Sg|Pres|Ind	1	cj	_	_
9	.	.	$	$.	_	0	root	_	_

1	Denn	denn	K	KON	_	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	343	343
3	habe	haben	V	VAFIN	1|Sg|Pres|_	1	cj	_	_
4	vor	vor	P	APPR	Dat	7	pp	_	_
5	meinem	meine	A	PPOSAT	_|Dat|Sg	6	det	343	343
6	Jagdherrn	Jagdherrn	N	NN	_|Dat|Sg	4	pn	_	_
7	gelogen	lügen	V	VVPP	_	3	aux	_	_
