Feature,Value
words per sent,13.666666666666666
LIX,33.17886178861789
# words,82
# sents,6
discourse entities,0.5
avg entity frequency,3.3333333333333335
vocabulary density,0.8541666666666666
adjectives,1.0
nouns,3.1666666666666665
verbs,2.0
pronouns,2.8333333333333335
particles,3.0
punctuation marks,1.6666666666666667
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.16666666666666666
aux verbs,0.6666666666666666
full verbs,1.1666666666666667
split verbs,0.0
nominative,0.8333333333333334
accusative,0.6666666666666666
dative,1.3333333333333333
genitive,0.16666666666666666
gen modifiers,0.16666666666666666
prep with gen,0.0
all genitives,0.16666666666666666
accusative obj,0.6666666666666666
dative obj,0.0
genitive obj,0.0
prepositional obj,0.0
acc+dat obj,0.6666666666666666
gen+prep obj,0.0
present forms,0.6666666666666666
past forms,0.0
perfect forms,0.5
pqp forms,0.0
perfect+pqp forms,0.0
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.5
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.0
subjunctions,0.0
relative clauses,0.0
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.16666666666666666
question words,0.16666666666666666
question marks,0.16666666666666666
subj/pred inversions,0.3333333333333333
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,0.6666666666666666
concessive,0.16666666666666666
conditional,0.8333333333333334
consecutive,0.16666666666666666
final,0.16666666666666666
interrogative,0.0
modal,0.0
other,2.8333333333333335
temporal,0.3333333333333333
A1 features,5
A1 features summed,1.1666666666666665
A2 features,4
A2 features summed,1.8333333333333335
B1 features,3
B1 features summed,0.6666666666666666
level features (all),24
level features (all) summed,22.83333333333334
