Feature,Value
words per sent,20.2
LIX,50.56303630363036
# words,303
# sents,15
discourse entities,0.6666666666666666
avg entity frequency,2.3
vocabulary density,0.5666666666666667
adjectives,2.3333333333333335
nouns,4.8
verbs,2.1333333333333333
pronouns,2.933333333333333
particles,4.733333333333333
punctuation marks,2.7333333333333334
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.06666666666666667
aux verbs,0.26666666666666666
full verbs,1.7333333333333334
split verbs,0.2
nominative,0.8666666666666667
accusative,0.8666666666666667
dative,2.0
genitive,0.2
gen modifiers,0.13333333333333333
prep with gen,0.06666666666666667
all genitives,0.2
accusative obj,0.7333333333333333
dative obj,0.0
genitive obj,0.0
prepositional obj,0.26666666666666666
acc+dat obj,0.7333333333333333
gen+prep obj,0.26666666666666666
present forms,1.2666666666666666
past forms,0.0
perfect forms,0.0
pqp forms,0.0
perfect+pqp forms,0.0
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.0
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.13333333333333333
passive with agens,0.0
comparative,0.06666666666666667
superlative,0.0
comp+superlative,0.06666666666666667
conjunctions,0.06666666666666667
subjunctions,0.06666666666666667
relative clauses,0.13333333333333333
participial clauses pres,0.0
participial clauses past,0.06666666666666667
all participial clauses,0.06666666666666667
negations,0.13333333333333333
question words,0.0
question marks,0.0
subj/pred inversions,0.6
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,0.3333333333333333
concessive,0.13333333333333333
conditional,0.5333333333333333
consecutive,0.2
final,0.06666666666666667
interrogative,0.0
modal,0.0
other,1.4
temporal,0.2
A1 features,4
A1 features summed,0.4666666666666667
A2 features,6
A2 features summed,1.5333333333333332
B1 features,5
B1 features summed,0.8
level features (all),32
level features (all) summed,30.93333333333333
