Feature,Value
words per sent,16.46153846153846
LIX,43.56434219985621
# words,214
# sents,13
discourse entities,0.5384615384615384
avg entity frequency,2.142857142857143
vocabulary density,0.7286821705426356
adjectives,1.0
nouns,4.0
verbs,2.3846153846153846
pronouns,3.4615384615384617
particles,3.5384615384615383
punctuation marks,1.9230769230769231
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.3076923076923077
aux verbs,0.3076923076923077
full verbs,1.6153846153846154
split verbs,0.0
nominative,1.1538461538461537
accusative,1.3076923076923077
dative,1.1538461538461537
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,0.5384615384615384
dative obj,0.0
genitive obj,0.0
prepositional obj,0.23076923076923078
acc+dat obj,0.5384615384615384
gen+prep obj,0.23076923076923078
present forms,1.2307692307692308
past forms,0.15384615384615385
perfect forms,0.07692307692307693
pqp forms,0.0
perfect+pqp forms,0.0
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.07692307692307693
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.07692307692307693
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.0
subjunctions,0.15384615384615385
relative clauses,0.15384615384615385
participial clauses pres,0.0
participial clauses past,0.07692307692307693
all participial clauses,0.07692307692307693
negations,0.0
question words,0.15384615384615385
question marks,0.0
subj/pred inversions,0.6923076923076923
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,0.6153846153846154
concessive,0.15384615384615385
conditional,0.6153846153846154
consecutive,0.3076923076923077
final,0.07692307692307693
interrogative,0.07692307692307693
modal,0.0
other,1.9230769230769231
temporal,0.5384615384615384
A1 features,3
A1 features summed,0.5384615384615385
A2 features,5
A2 features summed,1.9230769230769231
B1 features,6
B1 features summed,1.3076923076923077
level features (all),27
level features (all) summed,26.61538461538461
