Feature,Value
words per sent,14.916666666666666
LIX,41.73230912476723
# words,179
# sents,12
discourse entities,0.3333333333333333
avg entity frequency,2.25
vocabulary density,0.7
adjectives,0.6666666666666666
nouns,4.333333333333333
verbs,1.5833333333333333
pronouns,2.5833333333333335
particles,3.5
punctuation marks,1.9166666666666667
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.0
aux verbs,0.5833333333333334
full verbs,1.0
split verbs,0.0
nominative,1.75
accusative,0.75
dative,1.25
genitive,0.3333333333333333
gen modifiers,0.25
prep with gen,0.0
all genitives,0.25
accusative obj,0.3333333333333333
dative obj,0.0
genitive obj,0.0
prepositional obj,0.25
acc+dat obj,0.3333333333333333
gen+prep obj,0.25
present forms,0.4166666666666667
past forms,0.3333333333333333
perfect forms,0.08333333333333333
pqp forms,0.0
perfect+pqp forms,0.3333333333333333
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.08333333333333333
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.08333333333333333
subjunctions,0.0
relative clauses,0.0
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.0
question words,0.0
question marks,0.0
subj/pred inversions,0.25
placeholder 'es',0.08333333333333333
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,0.6666666666666666
concessive,0.16666666666666666
conditional,0.6666666666666666
consecutive,0.3333333333333333
final,0.08333333333333333
interrogative,0.08333333333333333
modal,0.0
other,2.0833333333333335
temporal,0.4166666666666667
A1 features,2
A1 features summed,0.16666666666666666
A2 features,6
A2 features summed,2.5
B1 features,4
B1 features summed,1.0
level features (all),26
level features (all) summed,23.58333333333332
