Feature,Value
words per sent,21.75
LIX,37.8419540229885
# words,174
# sents,8
discourse entities,0.625
avg entity frequency,2.6
vocabulary density,0.6972477064220184
adjectives,0.875
nouns,4.75
verbs,3.75
pronouns,3.75
particles,4.875
punctuation marks,3.375
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.375
aux verbs,1.0
full verbs,2.125
split verbs,0.375
nominative,2.0
accusative,1.375
dative,1.875
genitive,0.125
gen modifiers,0.125
prep with gen,0.0
all genitives,0.125
accusative obj,1.125
dative obj,0.125
genitive obj,0.0
prepositional obj,0.125
acc+dat obj,1.25
gen+prep obj,0.125
present forms,0.625
past forms,0.375
perfect forms,0.125
pqp forms,0.5
perfect+pqp forms,0.75
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.625
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.125
superlative,0.0
comp+superlative,0.125
conjunctions,0.5
subjunctions,0.0
relative clauses,0.0
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.125
question words,0.125
question marks,0.0
subj/pred inversions,0.875
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,2.875
concessive,0.75
conditional,4.125
consecutive,1.5
final,0.375
interrogative,0.375
modal,0.125
other,7.875
temporal,1.25
A1 features,6
A1 features summed,1.625
A2 features,8
A2 features summed,9.375
B1 features,4
B1 features summed,3.875
level features (all),33
level features (all) summed,38.5
