Feature,Value
words per sent,25.166666666666668
LIX,61.59050772626932
# words,302
# sents,12
discourse entities,0.6666666666666666
avg entity frequency,1.875
vocabulary density,0.7096774193548387
adjectives,2.4166666666666665
nouns,7.25
verbs,2.0833333333333335
pronouns,5.083333333333333
particles,5.416666666666667
punctuation marks,2.5833333333333335
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.0
aux verbs,0.8333333333333334
full verbs,1.25
split verbs,0.08333333333333333
nominative,2.1666666666666665
accusative,1.1666666666666667
dative,1.8333333333333333
genitive,1.0833333333333333
gen modifiers,1.0
prep with gen,0.08333333333333333
all genitives,1.0833333333333333
accusative obj,0.6666666666666666
dative obj,0.08333333333333333
genitive obj,0.0
prepositional obj,0.16666666666666666
acc+dat obj,0.75
gen+prep obj,0.16666666666666666
present forms,1.0
past forms,0.08333333333333333
perfect forms,0.25
pqp forms,0.0
perfect+pqp forms,0.16666666666666666
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.25
all futur forms,0.0
subj 1 forms,0.08333333333333333
subj 2 forms,0.0
subj 2 aux forms,0.08333333333333333
ind speech,0.0
irrealis mode,0.0
all subj forms,0.16666666666666666
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.08333333333333333
superlative,0.08333333333333333
comp+superlative,0.16666666666666666
conjunctions,0.08333333333333333
subjunctions,0.08333333333333333
relative clauses,0.5
participial clauses pres,0.0
participial clauses past,0.08333333333333333
all participial clauses,0.08333333333333333
negations,0.0
question words,0.0
question marks,0.0
subj/pred inversions,0.5
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,2.0833333333333335
concessive,0.5833333333333334
conditional,3.1666666666666665
consecutive,1.4166666666666667
final,0.25
interrogative,0.25
modal,0.08333333333333333
other,5.75
temporal,1.0
A1 features,3
A1 features summed,0.41666666666666663
A2 features,9
A2 features summed,8.166666666666666
B1 features,5
B1 features summed,3.75
level features (all),38
level features (all) summed,41.000000000000014
