Feature,Value
words per sent,11.2
LIX,25.485714285714288
# words,56
# sents,5
discourse entities,1.6
avg entity frequency,0.625
vocabulary density,0.78125
adjectives,0.6
nouns,2.8
verbs,1.2
pronouns,1.4
particles,3.8
punctuation marks,1.2
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.0
aux verbs,0.2
full verbs,1.0
split verbs,0.2
nominative,1.0
accusative,1.0
dative,0.6
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,0.6
dative obj,0.0
genitive obj,0.0
prepositional obj,0.2
acc+dat obj,0.6
gen+prep obj,0.2
present forms,1.0
past forms,0.0
perfect forms,0.0
pqp forms,0.0
perfect+pqp forms,0.0
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.0
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.0
subjunctions,0.0
relative clauses,0.0
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.4
question words,0.0
question marks,0.0
subj/pred inversions,0.4
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,11.0
concessive,1.4
conditional,8.8
consecutive,3.0
final,0.6
interrogative,0.2
modal,0.2
other,14.2
temporal,2.4
A1 features,2
A1 features summed,0.6000000000000001
A2 features,4
A2 features summed,23.0
B1 features,4
B1 features summed,7.0
level features (all),19
level features (all) summed,18.399999999999995
