Feature,Value
words per sent,21.6
LIX,50.303703703703704
# words,108
# sents,5
discourse entities,2.2
avg entity frequency,0.2727272727272727
vocabulary density,0.8142857142857143
adjectives,1.4
nouns,8.0
verbs,2.0
pronouns,3.4
particles,3.8
punctuation marks,2.8
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.0
aux verbs,0.8
full verbs,1.2
split verbs,0.0
nominative,1.4
accusative,1.0
dative,3.6
genitive,0.4
gen modifiers,0.4
prep with gen,0.0
all genitives,0.4
accusative obj,0.0
dative obj,0.2
genitive obj,0.0
prepositional obj,0.2
acc+dat obj,0.2
gen+prep obj,0.2
present forms,0.6
past forms,0.0
perfect forms,0.0
pqp forms,0.0
perfect+pqp forms,0.0
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.0
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.6
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.0
subjunctions,0.0
relative clauses,0.2
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.0
question words,0.0
question marks,0.0
subj/pred inversions,0.8
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,0.2
concessive,0.2
conditional,0.6
consecutive,0.0
final,0.2
interrogative,0.0
modal,0.0
other,1.2
temporal,0.0
A1 features,0
A1 features summed,0.0
A2 features,5
A2 features summed,1.6
B1 features,3
B1 features summed,1.0
level features (all),22
level features (all) summed,33.599999999999994
