Feature,Value
words per sent,17.0
LIX,40.529411764705884
# words,85
# sents,5
discourse entities,1.2
avg entity frequency,1.6666666666666667
vocabulary density,0.7045454545454546
adjectives,1.4
nouns,3.2
verbs,2.0
pronouns,4.4
particles,3.6
punctuation marks,2.2
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.2
aux verbs,0.6
full verbs,1.2
split verbs,0.2
nominative,0.6
accusative,0.8
dative,0.8
genitive,0.2
gen modifiers,0.2
prep with gen,0.0
all genitives,0.2
accusative obj,0.8
dative obj,0.0
genitive obj,0.0
prepositional obj,0.0
acc+dat obj,0.8
gen+prep obj,0.0
present forms,0.2
past forms,1.0
perfect forms,0.0
pqp forms,0.0
perfect+pqp forms,0.6
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.0
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.0
subjunctions,0.4
relative clauses,0.0
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.2
question words,0.6
question marks,0.0
subj/pred inversions,0.4
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,1.6
concessive,0.2
conditional,2.6
consecutive,1.0
final,0.0
interrogative,0.2
modal,0.0
other,5.6
temporal,1.2
A1 features,4
A1 features summed,1.2
A2 features,5
A2 features summed,6.4
B1 features,4
B1 features summed,2.5999999999999996
level features (all),25
level features (all) summed,26.8
