Feature,Value
words per sent,13.78
LIX,34.82499274310595
# words,689
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5475638051044084
adjectives,1.12
nouns,2.76
verbs,1.42
pronouns,2.7
particles,2.88
punctuation marks,2.9
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.06
aux verbs,0.34
full verbs,0.98
split verbs,0.06
nominative,0.64
accusative,0.74
dative,0.58
genitive,0.22
gen modifiers,0.16
prep with gen,0.02
all genitives,0.18
accusative obj,0.5
dative obj,0.06
genitive obj,0.0
prepositional obj,0.06
acc+dat obj,0.56
gen+prep obj,0.06
present forms,0.48
past forms,0.32
perfect forms,0.04
pqp forms,0.04
perfect+pqp forms,0.1
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.08
all futur forms,0.0
subj 1 forms,0.02
subj 2 forms,0.0
subj 2 aux forms,0.02
ind speech,0.0
irrealis mode,0.0
all subj forms,0.04
imperatives,0.0
passive voice,0.02
passive with agens,0.02
comparative,0.02
superlative,0.06
comp+superlative,0.08
conjunctions,0.08
subjunctions,0.08
relative clauses,0.16
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.2
question words,0.06
question marks,0.02
subj/pred inversions,0.3
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,50.18
concessive,4.52
conditional,75.74
consecutive,0.02
final,7.0
interrogative,2.78
modal,27.54
other,120.66
temporal,96.68
A1 features,7
A1 features summed,0.52
A2 features,9
A2 features summed,126.57999999999998
B1 features,7
B1 features summed,104.19999999999999
level features (all),44
level features (all) summed,21.25999999999998
