Feature,Value
words per sent,11.14
LIX,29.811454219030523
# words,557
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5924855491329479
adjectives,0.88
nouns,2.08
verbs,1.4
pronouns,2.16
particles,2.42
punctuation marks,2.18
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.1
aux verbs,0.34
full verbs,0.92
split verbs,0.08
nominative,0.58
accusative,0.58
dative,0.38
genitive,0.1
gen modifiers,0.1
prep with gen,0.0
all genitives,0.1
accusative obj,0.44
dative obj,0.06
genitive obj,0.0
prepositional obj,0.02
acc+dat obj,0.5
gen+prep obj,0.02
present forms,0.28
past forms,0.38
perfect forms,0.02
pqp forms,0.08
perfect+pqp forms,0.26
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.0
subj 1 forms,0.02
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.02
imperatives,0.02
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.12
subjunctions,0.04
relative clauses,0.14
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.1
question words,0.04
question marks,0.06
subj/pred inversions,0.28
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,53.6
concessive,5.3
conditional,82.66
consecutive,0.02
final,7.32
interrogative,2.94
modal,28.88
other,129.24
temporal,100.12
A1 features,8
A1 features summed,0.54
A2 features,7
A2 features summed,136.84
B1 features,5
B1 features summed,108.52000000000001
level features (all),38
level features (all) summed,17.419999999999998
