Feature,Value
words per sent,7.58
LIX,23.938839050131925
# words,379
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.4666666666666667
adjectives,0.52
nouns,1.0
verbs,1.18
pronouns,1.52
particles,1.32
punctuation marks,2.0
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.08
aux verbs,0.32
full verbs,0.78
split verbs,0.1
nominative,0.3
accusative,0.4
dative,0.38
genitive,0.08
gen modifiers,0.08
prep with gen,0.0
all genitives,0.08
accusative obj,0.36
dative obj,0.08
genitive obj,0.0
prepositional obj,0.02
acc+dat obj,0.44
gen+prep obj,0.02
present forms,0.4
past forms,0.22
perfect forms,0.08
pqp forms,0.0
perfect+pqp forms,0.04
past aux forms,0.02
futur 1 forms,0.0
futur 2 forms,0.08
all futur forms,0.02
subj 1 forms,0.02
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.02
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.02
superlative,0.0
comp+superlative,0.02
conjunctions,0.02
subjunctions,0.02
relative clauses,0.02
participial clauses pres,0.02
participial clauses past,0.0
all participial clauses,0.02
negations,0.0
question words,0.24
question marks,0.06
subj/pred inversions,0.36
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,53.08
concessive,5.1
conditional,81.2
consecutive,0.02
final,7.2
interrogative,2.82
modal,28.54
other,127.54
temporal,99.34
A1 features,7
A1 features summed,0.6
A2 features,8
A2 features summed,134.72000000000003
B1 features,5
B1 features summed,107.3
level features (all),40
level features (all) summed,12.759999999999996
