Feature,Value
words per sent,14.96
LIX,37.553582887700536
# words,748
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.6030368763557483
adjectives,1.52
nouns,3.18
verbs,1.94
pronouns,2.78
particles,3.34
punctuation marks,2.1
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.18
aux verbs,0.52
full verbs,1.2
split verbs,0.14
nominative,1.02
accusative,0.82
dative,0.86
genitive,0.22
gen modifiers,0.16
prep with gen,0.0
all genitives,0.16
accusative obj,0.58
dative obj,0.14
genitive obj,0.0
prepositional obj,0.12
acc+dat obj,0.72
gen+prep obj,0.12
present forms,0.8
past forms,0.14
perfect forms,0.04
pqp forms,0.0
perfect+pqp forms,0.02
past aux forms,0.02
futur 1 forms,0.0
futur 2 forms,0.04
all futur forms,0.02
subj 1 forms,0.14
subj 2 forms,0.02
subj 2 aux forms,0.08
ind speech,0.0
irrealis mode,0.0
all subj forms,0.24
imperatives,0.0
passive voice,0.04
passive with agens,0.0
comparative,0.04
superlative,0.02
comp+superlative,0.06
conjunctions,0.14
subjunctions,0.12
relative clauses,0.12
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.24
question words,0.14
question marks,0.1
subj/pred inversions,0.24
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,49.9
concessive,4.3
conditional,75.16
consecutive,0.02
final,6.98
interrogative,2.78
modal,27.34
other,119.82
temporal,96.24
A1 features,8
A1 features summed,1.0
A2 features,9
A2 features summed,125.75999999999999
B1 features,6
B1 features summed,103.5
level features (all),44
level features (all) summed,24.65999999999999
