Feature,Value
words per sent,18.96
LIX,40.795443037974685
# words,948
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5618181818181818
adjectives,1.74
nouns,3.04
verbs,2.44
pronouns,3.84
particles,4.96
punctuation marks,2.92
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.2
aux verbs,0.68
full verbs,1.52
split verbs,0.18
nominative,0.66
accusative,1.06
dative,0.96
genitive,0.3
gen modifiers,0.28
prep with gen,0.0
all genitives,0.28
accusative obj,0.88
dative obj,0.3
genitive obj,0.0
prepositional obj,0.08
acc+dat obj,1.18
gen+prep obj,0.08
present forms,0.42
past forms,0.56
perfect forms,0.04
pqp forms,0.1
perfect+pqp forms,0.32
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.14
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.02
passive voice,0.02
passive with agens,0.0
comparative,0.04
superlative,0.02
comp+superlative,0.06
conjunctions,0.22
subjunctions,0.22
relative clauses,0.12
participial clauses pres,0.0
participial clauses past,0.02
all participial clauses,0.02
negations,0.3
question words,0.14
question marks,0.08
subj/pred inversions,0.6
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.02
'brauchen'+'lassen' constr,0.02
causal,51.82
concessive,4.86
conditional,78.88
consecutive,0.02
final,7.06
interrogative,2.8
modal,28.2
other,124.3
temporal,98.04
A1 features,8
A1 features summed,1.18
A2 features,8
A2 features summed,131.98000000000002
B1 features,6
B1 features summed,105.86
level features (all),43
level features (all) summed,31.07999999999999
