Feature,Value
words per sent,17.0
LIX,35.11764705882353
# words,850
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.4760956175298805
adjectives,1.1
nouns,2.68
verbs,2.34
pronouns,3.5
particles,3.9
punctuation marks,3.48
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.18
aux verbs,0.62
full verbs,1.5
split verbs,0.14
nominative,0.76
accusative,0.94
dative,0.66
genitive,0.24
gen modifiers,0.22
prep with gen,0.0
all genitives,0.22
accusative obj,0.64
dative obj,0.1
genitive obj,0.0
prepositional obj,0.14
acc+dat obj,0.74
gen+prep obj,0.14
present forms,0.6
past forms,0.6
perfect forms,0.12
pqp forms,0.04
perfect+pqp forms,0.1
past aux forms,0.02
futur 1 forms,0.0
futur 2 forms,0.16
all futur forms,0.02
subj 1 forms,0.0
subj 2 forms,0.04
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.02
all subj forms,0.04
imperatives,0.02
passive voice,0.02
passive with agens,0.0
comparative,0.0
superlative,0.04
comp+superlative,0.04
conjunctions,0.2
subjunctions,0.14
relative clauses,0.14
participial clauses pres,0.02
participial clauses past,0.0
all participial clauses,0.02
negations,0.22
question words,0.2
question marks,0.02
subj/pred inversions,0.62
placeholder 'es',0.02
'brauchen' constr,0.02
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.02
causal,50.02
concessive,4.38
conditional,75.3
consecutive,0.02
final,6.98
interrogative,2.78
modal,27.4
other,120.18
temporal,96.32
A1 features,9
A1 features summed,1.12
A2 features,7
A2 features summed,126.39999999999999
B1 features,6
B1 features summed,103.66
level features (all),48
level features (all) summed,27.759999999999998
