Feature,Value
words per sent,26.46
LIX,49.438080120937265
# words,1323
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5298196948682385
adjectives,1.78
nouns,4.7
verbs,4.22
pronouns,6.4
particles,5.78
punctuation marks,3.48
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.16
aux verbs,0.96
full verbs,3.06
split verbs,0.24
nominative,0.88
accusative,1.8
dative,1.68
genitive,0.52
gen modifiers,0.48
prep with gen,0.0
all genitives,0.48
accusative obj,1.24
dative obj,0.36
genitive obj,0.0
prepositional obj,0.28
acc+dat obj,1.6
gen+prep obj,0.28
present forms,0.38
past forms,1.42
perfect forms,0.0
pqp forms,0.38
perfect+pqp forms,0.56
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.38
all futur forms,0.0
subj 1 forms,0.06
subj 2 forms,0.04
subj 2 aux forms,0.06
ind speech,0.02
irrealis mode,0.0
all subj forms,0.16
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.04
superlative,0.02
comp+superlative,0.06
conjunctions,0.48
subjunctions,0.38
relative clauses,0.72
participial clauses pres,0.02
participial clauses past,0.08
all participial clauses,0.1
negations,0.12
question words,0.12
question marks,0.0
subj/pred inversions,0.6
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,55.88
concessive,5.46
conditional,86.54
consecutive,0.02
final,7.64
interrogative,3.08
modal,29.54
other,134.14
temporal,104.02
A1 features,5
A1 features summed,1.1199999999999999
A2 features,9
A2 features summed,145.08
B1 features,5
B1 features summed,113.3
level features (all),44
level features (all) summed,46.60000000000002
