Feature,Value
words per sent,20.8
LIX,39.838461538461544
# words,1040
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5235772357723577
adjectives,1.46
nouns,4.14
verbs,2.88
pronouns,4.6
particles,4.7
punctuation marks,3.02
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.2
aux verbs,0.42
full verbs,2.26
split verbs,0.2
nominative,1.08
accusative,1.6
dative,1.38
genitive,0.26
gen modifiers,0.26
prep with gen,0.0
all genitives,0.26
accusative obj,1.2
dative obj,0.3
genitive obj,0.0
prepositional obj,0.18
acc+dat obj,1.5
gen+prep obj,0.18
present forms,0.66
past forms,1.02
perfect forms,0.02
pqp forms,0.08
perfect+pqp forms,0.18
past aux forms,0.02
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.02
subj 1 forms,0.0
subj 2 forms,0.02
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.02
imperatives,0.02
passive voice,0.04
passive with agens,0.02
comparative,0.0
superlative,0.06
comp+superlative,0.06
conjunctions,0.34
subjunctions,0.2
relative clauses,0.32
participial clauses pres,0.0
participial clauses past,0.02
all participial clauses,0.02
negations,0.08
question words,0.06
question marks,0.0
subj/pred inversions,0.42
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.02
'brauchen'+'lassen' constr,0.02
causal,59.08
concessive,5.7
conditional,91.24
consecutive,0.02
final,8.14
interrogative,3.12
modal,30.26
other,139.6
temporal,110.52
A1 features,8
A1 features summed,0.9400000000000002
A2 features,7
A2 features summed,152.1
B1 features,7
B1 features summed,119.74
level features (all),47
level features (all) summed,35.940000000000055
