Feature,Value
words per sent,14.66
LIX,31.849631650750343
# words,733
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.4906976744186046
adjectives,0.64
nouns,2.76
verbs,2.38
pronouns,3.46
particles,2.94
punctuation marks,2.46
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.22
aux verbs,0.52
full verbs,1.64
split verbs,0.08
nominative,0.66
accusative,1.24
dative,0.62
genitive,0.1
gen modifiers,0.1
prep with gen,0.0
all genitives,0.1
accusative obj,0.92
dative obj,0.1
genitive obj,0.0
prepositional obj,0.32
acc+dat obj,1.02
gen+prep obj,0.32
present forms,0.58
past forms,0.66
perfect forms,0.12
pqp forms,0.04
perfect+pqp forms,0.08
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.16
all futur forms,0.0
subj 1 forms,0.02
subj 2 forms,0.04
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.06
imperatives,0.06
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.26
subjunctions,0.12
relative clauses,0.16
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.18
question words,0.08
question marks,0.16
subj/pred inversions,0.48
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.02
'brauchen'+'lassen' constr,0.02
causal,58.5
concessive,5.7
conditional,90.5
consecutive,0.02
final,8.04
interrogative,3.12
modal,30.14
other,138.54
temporal,109.18
A1 features,8
A1 features summed,1.1600000000000001
A2 features,7
A2 features summed,150.2
B1 features,5
B1 features summed,118.18
level features (all),40
level features (all) summed,25.899999999999995
