Feature,Value
words per sent,11.66
LIX,28.298078902229847
# words,583
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5331412103746398
adjectives,0.82
nouns,1.72
verbs,1.82
pronouns,2.36
particles,2.44
punctuation marks,2.48
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.14
aux verbs,0.56
full verbs,1.0
split verbs,0.04
nominative,0.58
accusative,0.52
dative,0.38
genitive,0.08
gen modifiers,0.04
prep with gen,0.0
all genitives,0.04
accusative obj,0.42
dative obj,0.1
genitive obj,0.0
prepositional obj,0.06
acc+dat obj,0.52
gen+prep obj,0.06
present forms,0.58
past forms,0.48
perfect forms,0.02
pqp forms,0.06
perfect+pqp forms,0.16
past aux forms,0.02
futur 1 forms,0.0
futur 2 forms,0.08
all futur forms,0.02
subj 1 forms,0.02
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.02
imperatives,0.0
passive voice,0.02
passive with agens,0.0
comparative,0.08
superlative,0.02
comp+superlative,0.1
conjunctions,0.14
subjunctions,0.1
relative clauses,0.02
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.14
question words,0.08
question marks,0.02
subj/pred inversions,0.38
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,111.26
concessive,12.8
conditional,220.22
consecutive,7.62
final,14.98
interrogative,6.66
modal,54.16
other,257.42
temporal,218.86
A1 features,8
A1 features summed,0.6000000000000001
A2 features,8
A2 features summed,339.86
B1 features,6
B1 features summed,245.98000000000005
level features (all),43
level features (all) summed,18.75999999999999
