Feature,Value
words per sent,17.22
LIX,29.76355400696864
# words,861
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.47404063205417607
adjectives,0.74
nouns,1.76
verbs,3.16
pronouns,4.22
particles,4.26
punctuation marks,3.08
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.32
aux verbs,0.56
full verbs,2.1
split verbs,0.1
nominative,0.48
accusative,1.16
dative,0.44
genitive,0.06
gen modifiers,0.04
prep with gen,0.0
all genitives,0.06
accusative obj,0.98
dative obj,0.1
genitive obj,0.02
prepositional obj,0.18
acc+dat obj,1.08
gen+prep obj,0.2
present forms,1.28
past forms,0.4
perfect forms,0.04
pqp forms,0.06
perfect+pqp forms,0.12
past aux forms,0.04
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.04
subj 1 forms,0.02
subj 2 forms,0.06
subj 2 aux forms,0.02
ind speech,0.0
irrealis mode,0.0
all subj forms,0.1
imperatives,0.02
passive voice,0.0
passive with agens,0.0
comparative,0.06
superlative,0.0
comp+superlative,0.06
conjunctions,0.58
subjunctions,0.08
relative clauses,0.32
participial clauses pres,0.0
participial clauses past,0.04
all participial clauses,0.04
negations,0.34
question words,0.06
question marks,0.02
subj/pred inversions,0.3
placeholder 'es',0.1
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,108.04
concessive,12.44
conditional,213.44
consecutive,7.62
final,14.9
interrogative,6.38
modal,53.04
other,251.18
temporal,212.54
A1 features,9
A1 features summed,1.5200000000000002
A2 features,9
A2 features summed,329.90000000000003
B1 features,6
B1 features summed,239.32
level features (all),47
level features (all) summed,29.399999999999988
