Feature,Value
words per sent,14.54
LIX,26.782090784044016
# words,727
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.4547244094488189
adjectives,0.74
nouns,2.32
verbs,1.44
pronouns,2.06
particles,4.58
punctuation marks,3.4
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.08
aux verbs,0.32
full verbs,1.02
split verbs,0.12
nominative,0.42
accusative,0.52
dative,0.38
genitive,0.14
gen modifiers,0.1
prep with gen,0.02
all genitives,0.12
accusative obj,0.32
dative obj,0.06
genitive obj,0.0
prepositional obj,0.1
acc+dat obj,0.38
gen+prep obj,0.1
present forms,0.36
past forms,0.32
perfect forms,0.0
pqp forms,0.1
perfect+pqp forms,0.16
past aux forms,0.02
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.02
subj 1 forms,0.06
subj 2 forms,0.02
subj 2 aux forms,0.02
ind speech,0.0
irrealis mode,0.0
all subj forms,0.1
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.02
superlative,0.0
comp+superlative,0.02
conjunctions,0.16
subjunctions,0.08
relative clauses,0.06
participial clauses pres,0.0
participial clauses past,0.02
all participial clauses,0.02
negations,0.06
question words,0.04
question marks,0.02
subj/pred inversions,0.38
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,95.8
concessive,11.28
conditional,188.28
consecutive,7.62
final,14.66
interrogative,5.8
modal,49.0
other,230.92
temporal,188.34
A1 features,7
A1 features summed,0.5
A2 features,9
A2 features summed,292.32
B1 features,5
B1 features summed,213.1
level features (all),45
level features (all) summed,20.919999999999998
