Feature,Value
words per sent,17.44
LIX,31.20146788990826
# words,872
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.4798464491362764
adjectives,0.94
nouns,2.96
verbs,2.22
pronouns,3.3
particles,4.4
punctuation marks,3.56
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.06
aux verbs,0.56
full verbs,1.5
split verbs,0.18
nominative,1.0
accusative,1.18
dative,0.48
genitive,0.08
gen modifiers,0.08
prep with gen,0.0
all genitives,0.08
accusative obj,0.58
dative obj,0.06
genitive obj,0.0
prepositional obj,0.14
acc+dat obj,0.64
gen+prep obj,0.14
present forms,0.6
past forms,0.84
perfect forms,0.02
pqp forms,0.02
perfect+pqp forms,0.1
past aux forms,0.04
futur 1 forms,0.0
futur 2 forms,0.04
all futur forms,0.04
subj 1 forms,0.1
subj 2 forms,0.02
subj 2 aux forms,0.08
ind speech,0.0
irrealis mode,0.0
all subj forms,0.2
imperatives,0.0
passive voice,0.02
passive with agens,0.0
comparative,0.06
superlative,0.04
comp+superlative,0.1
conjunctions,0.3
subjunctions,0.12
relative clauses,0.24
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.14
question words,0.2
question marks,0.04
subj/pred inversions,0.58
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,95.66
concessive,11.24
conditional,187.66
consecutive,7.62
final,14.66
interrogative,5.8
modal,48.94
other,230.68
temporal,187.78
A1 features,8
A1 features summed,0.9800000000000002
A2 features,9
A2 features summed,292.19999999999993
B1 features,6
B1 features summed,212.70000000000002
level features (all),44
level features (all) summed,28.079999999999984
