Feature,Value
words per sent,31.36
LIX,48.89826530612245
# words,1568
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5338785046728972
adjectives,2.32
nouns,5.02
verbs,4.32
pronouns,7.02
particles,7.84
punctuation marks,4.74
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.14
aux verbs,1.22
full verbs,2.84
split verbs,0.26
nominative,1.34
accusative,1.8
dative,1.78
genitive,0.28
gen modifiers,0.24
prep with gen,0.0
all genitives,0.24
accusative obj,1.1
dative obj,0.34
genitive obj,0.0
prepositional obj,0.36
acc+dat obj,1.44
gen+prep obj,0.36
present forms,0.3
past forms,1.54
perfect forms,0.06
pqp forms,0.22
perfect+pqp forms,0.88
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.28
all futur forms,0.0
subj 1 forms,0.14
subj 2 forms,0.02
subj 2 aux forms,0.08
ind speech,0.0
irrealis mode,0.0
all subj forms,0.24
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.06
superlative,0.08
comp+superlative,0.14
conjunctions,0.54
subjunctions,0.24
relative clauses,0.78
participial clauses pres,0.04
participial clauses past,0.04
all participial clauses,0.08
negations,0.28
question words,0.16
question marks,0.0
subj/pred inversions,0.7
placeholder 'es',0.04
'brauchen' constr,0.0
'lassen' constr,0.02
'brauchen'+'lassen' constr,0.02
causal,91.5
concessive,10.92
conditional,179.46
consecutive,7.62
final,14.58
interrogative,5.52
modal,47.42
other,223.84
temporal,178.8
A1 features,6
A1 features summed,1.4400000000000004
A2 features,9
A2 features summed,281.2
B1 features,5
B1 features summed,203.64000000000001
level features (all),46
level features (all) summed,51.98000000000001
