Feature,Value
words per sent,22.16
LIX,41.11306859205776
# words,1108
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5342902711323764
adjectives,1.26
nouns,3.28
verbs,3.3
pronouns,5.12
particles,5.56
punctuation marks,3.62
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.24
aux verbs,0.72
full verbs,2.26
split verbs,0.24
nominative,0.74
accusative,1.34
dative,1.18
genitive,0.14
gen modifiers,0.1
prep with gen,0.04
all genitives,0.14
accusative obj,0.96
dative obj,0.42
genitive obj,0.0
prepositional obj,0.06
acc+dat obj,1.38
gen+prep obj,0.06
present forms,0.9
past forms,0.66
perfect forms,0.04
pqp forms,0.14
perfect+pqp forms,0.24
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.18
all futur forms,0.0
subj 1 forms,0.02
subj 2 forms,0.04
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.06
imperatives,0.02
passive voice,0.0
passive with agens,0.0
comparative,0.04
superlative,0.04
comp+superlative,0.08
conjunctions,0.42
subjunctions,0.2
relative clauses,0.3
participial clauses pres,0.02
participial clauses past,0.04
all participial clauses,0.06
negations,0.28
question words,0.06
question marks,0.02
subj/pred inversions,0.62
placeholder 'es',0.04
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,92.56
concessive,10.98
conditional,181.44
consecutive,7.62
final,14.58
interrogative,5.6
modal,47.86
other,225.54
temporal,181.22
A1 features,8
A1 features summed,1.32
A2 features,8
A2 features summed,282.90000000000003
B1 features,5
B1 features summed,205.72
level features (all),46
level features (all) summed,36.680000000000014
