Feature,Value
words per sent,16.84
LIX,28.241425178147267
# words,842
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.49510763209393344
adjectives,0.96
nouns,2.64
verbs,2.32
pronouns,3.44
particles,4.04
punctuation marks,3.28
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.12
aux verbs,0.34
full verbs,1.86
split verbs,0.14
nominative,0.72
accusative,0.98
dative,0.78
genitive,0.04
gen modifiers,0.02
prep with gen,0.0
all genitives,0.02
accusative obj,0.78
dative obj,0.16
genitive obj,0.0
prepositional obj,0.06
acc+dat obj,0.94
gen+prep obj,0.06
present forms,0.7
past forms,0.66
perfect forms,0.04
pqp forms,0.06
perfect+pqp forms,0.12
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.0
subj 1 forms,0.02
subj 2 forms,0.02
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.04
imperatives,0.04
passive voice,0.0
passive with agens,0.0
comparative,0.02
superlative,0.0
comp+superlative,0.02
conjunctions,0.3
subjunctions,0.1
relative clauses,0.18
participial clauses pres,0.0
participial clauses past,0.02
all participial clauses,0.02
negations,0.1
question words,0.14
question marks,0.04
subj/pred inversions,0.44
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,111.32
concessive,12.84
conditional,220.56
consecutive,7.62
final,14.98
interrogative,6.68
modal,54.24
other,257.74
temporal,219.5
A1 features,8
A1 features summed,0.92
A2 features,8
A2 features summed,340.41999999999996
B1 features,5
B1 features summed,246.82
level features (all),43
level features (all) summed,26.9
