Feature,Value
words per sent,18.88
LIX,32.545254237288134
# words,944
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.4670433145009416
adjectives,1.02
nouns,2.34
verbs,3.16
pronouns,4.3
particles,4.26
punctuation marks,3.68
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.18
aux verbs,0.86
full verbs,2.06
split verbs,0.16
nominative,0.74
accusative,1.0
dative,0.62
genitive,0.16
gen modifiers,0.14
prep with gen,0.0
all genitives,0.14
accusative obj,0.86
dative obj,0.24
genitive obj,0.0
prepositional obj,0.06
acc+dat obj,1.1
gen+prep obj,0.06
present forms,0.96
past forms,0.66
perfect forms,0.04
pqp forms,0.16
perfect+pqp forms,0.48
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.2
all futur forms,0.0
subj 1 forms,0.04
subj 2 forms,0.02
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.06
imperatives,0.06
passive voice,0.02
passive with agens,0.0
comparative,0.02
superlative,0.0
comp+superlative,0.02
conjunctions,0.3
subjunctions,0.28
relative clauses,0.24
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.28
question words,0.16
question marks,0.0
subj/pred inversions,0.6
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.02
'brauchen'+'lassen' constr,0.02
causal,101.62
concessive,11.8
conditional,201.18
consecutive,7.62
final,14.84
interrogative,6.06
modal,51.2
other,241.98
temporal,201.34
A1 features,7
A1 features summed,1.1800000000000002
A2 features,8
A2 features summed,311.54
B1 features,6
B1 features summed,227.08
level features (all),43
level features (all) summed,31.799999999999994
