Feature,Value
words per sent,21.02
LIX,39.668905803996196
# words,1051
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.4827586206896552
adjectives,1.14
nouns,3.26
verbs,3.02
pronouns,4.5
particles,5.14
punctuation marks,3.86
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.16
aux verbs,0.74
full verbs,2.08
split verbs,0.12
nominative,0.78
accusative,1.1
dative,1.14
genitive,0.16
gen modifiers,0.12
prep with gen,0.0
all genitives,0.12
accusative obj,0.76
dative obj,0.46
genitive obj,0.0
prepositional obj,0.16
acc+dat obj,1.22
gen+prep obj,0.16
present forms,0.68
past forms,0.58
perfect forms,0.06
pqp forms,0.1
perfect+pqp forms,0.28
past aux forms,0.02
futur 1 forms,0.02
futur 2 forms,0.16
all futur forms,0.04
subj 1 forms,0.02
subj 2 forms,0.02
subj 2 aux forms,0.02
ind speech,0.0
irrealis mode,0.0
all subj forms,0.06
imperatives,0.04
passive voice,0.0
passive with agens,0.0
comparative,0.02
superlative,0.06
comp+superlative,0.08
conjunctions,0.16
subjunctions,0.14
relative clauses,0.3
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.22
question words,0.16
question marks,0.02
subj/pred inversions,0.44
placeholder 'es',0.08
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,101.4
concessive,11.8
conditional,200.88
consecutive,7.62
final,14.8
interrogative,6.06
modal,51.1
other,241.74
temporal,200.96
A1 features,9
A1 features summed,0.9600000000000002
A2 features,10
A2 features summed,311.28
B1 features,5
B1 features summed,226.74
level features (all),46
level features (all) summed,33.980000000000004
