Feature,Value
words per sent,18.38
LIX,37.64006528835691
# words,919
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5492424242424242
adjectives,1.44
nouns,2.68
verbs,2.28
pronouns,3.9
particles,4.52
punctuation marks,3.42
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.08
aux verbs,0.72
full verbs,1.4
split verbs,0.08
nominative,0.54
accusative,0.78
dative,1.16
genitive,0.22
gen modifiers,0.18
prep with gen,0.02
all genitives,0.2
accusative obj,0.58
dative obj,0.16
genitive obj,0.0
prepositional obj,0.2
acc+dat obj,0.74
gen+prep obj,0.2
present forms,0.58
past forms,0.58
perfect forms,0.0
pqp forms,0.04
perfect+pqp forms,0.3
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.04
all futur forms,0.0
subj 1 forms,0.08
subj 2 forms,0.02
subj 2 aux forms,0.02
ind speech,0.0
irrealis mode,0.0
all subj forms,0.12
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.06
superlative,0.0
comp+superlative,0.06
conjunctions,0.26
subjunctions,0.18
relative clauses,0.24
participial clauses pres,0.0
participial clauses past,0.04
all participial clauses,0.04
negations,0.3
question words,0.2
question marks,0.0
subj/pred inversions,0.36
placeholder 'es',0.04
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,103.86
concessive,11.92
conditional,205.36
consecutive,7.62
final,14.84
interrogative,6.12
modal,51.76
other,245.26
temporal,205.06
A1 features,5
A1 features summed,0.9199999999999999
A2 features,9
A2 features summed,318.04
B1 features,5
B1 features summed,230.96
level features (all),42
level features (all) summed,29.059999999999977
