Feature,Value
words per sent,23.6
LIX,37.328813559322036
# words,1180
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.47487844408427876
adjectives,1.06
nouns,2.88
verbs,3.76
pronouns,5.82
particles,6.3
punctuation marks,3.68
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.32
aux verbs,1.24
full verbs,2.06
split verbs,0.16
nominative,0.86
accusative,1.12
dative,1.0
genitive,0.1
gen modifiers,0.1
prep with gen,0.0
all genitives,0.1
accusative obj,0.86
dative obj,0.36
genitive obj,0.0
prepositional obj,0.24
acc+dat obj,1.22
gen+prep obj,0.24
present forms,1.46
past forms,0.5
perfect forms,0.08
pqp forms,0.04
perfect+pqp forms,0.3
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.12
all futur forms,0.0
subj 1 forms,0.06
subj 2 forms,0.0
subj 2 aux forms,0.04
ind speech,0.0
irrealis mode,0.02
all subj forms,0.1
imperatives,0.02
passive voice,0.0
passive with agens,0.0
comparative,0.04
superlative,0.02
comp+superlative,0.06
conjunctions,0.52
subjunctions,0.2
relative clauses,0.48
participial clauses pres,0.0
participial clauses past,0.02
all participial clauses,0.02
negations,0.36
question words,0.28
question marks,0.06
subj/pred inversions,0.4
placeholder 'es',0.04
'brauchen' constr,0.0
'lassen' constr,0.02
'brauchen'+'lassen' constr,0.02
causal,105.88
concessive,12.14
conditional,208.96
consecutive,7.62
final,14.88
interrogative,6.24
modal,52.28
other,247.76
temporal,208.18
A1 features,8
A1 features summed,1.8
A2 features,9
A2 features summed,323.74000000000007
B1 features,5
B1 features summed,234.66
level features (all),47
level features (all) summed,38.760000000000026
