Feature,Value
words per sent,20.06
LIX,36.01214356929212
# words,1003
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5017985611510791
adjectives,1.26
nouns,2.82
verbs,2.72
pronouns,4.36
particles,5.14
punctuation marks,3.74
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.1
aux verbs,1.04
full verbs,1.46
split verbs,0.12
nominative,0.6
accusative,1.16
dative,0.68
genitive,0.12
gen modifiers,0.1
prep with gen,0.0
all genitives,0.1
accusative obj,0.74
dative obj,0.12
genitive obj,0.0
prepositional obj,0.1
acc+dat obj,0.86
gen+prep obj,0.1
present forms,1.16
past forms,0.2
perfect forms,0.08
pqp forms,0.0
perfect+pqp forms,0.22
past aux forms,0.02
futur 1 forms,0.0
futur 2 forms,0.08
all futur forms,0.02
subj 1 forms,0.08
subj 2 forms,0.02
subj 2 aux forms,0.06
ind speech,0.0
irrealis mode,0.0
all subj forms,0.16
imperatives,0.04
passive voice,0.04
passive with agens,0.02
comparative,0.14
superlative,0.02
comp+superlative,0.16
conjunctions,0.18
subjunctions,0.2
relative clauses,0.24
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.24
question words,0.24
question marks,0.06
subj/pred inversions,0.38
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,102.16
concessive,11.86
conditional,202.16
consecutive,7.62
final,14.84
interrogative,6.1
modal,51.36
other,243.0
temporal,202.16
A1 features,9
A1 features summed,1.08
A2 features,9
A2 features summed,312.66
B1 features,7
B1 features summed,228.04000000000002
level features (all),46
level features (all) summed,31.51999999999999
