Feature,Value
words per sent,18.2
LIX,29.18901098901099
# words,910
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.42166344294003866
adjectives,0.9
nouns,2.02
verbs,2.42
pronouns,3.6
particles,5.24
punctuation marks,3.96
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.18
aux verbs,0.86
full verbs,1.26
split verbs,0.08
nominative,0.48
accusative,0.8
dative,0.48
genitive,0.1
gen modifiers,0.04
prep with gen,0.04
all genitives,0.08
accusative obj,0.72
dative obj,0.22
genitive obj,0.0
prepositional obj,0.02
acc+dat obj,0.94
gen+prep obj,0.02
present forms,1.48
past forms,0.0
perfect forms,0.08
pqp forms,0.0
perfect+pqp forms,0.0
past aux forms,0.06
futur 1 forms,0.02
futur 2 forms,0.08
all futur forms,0.08
subj 1 forms,0.02
subj 2 forms,0.02
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.04
imperatives,0.02
passive voice,0.0
passive with agens,0.0
comparative,0.04
superlative,0.0
comp+superlative,0.04
conjunctions,0.3
subjunctions,0.2
relative clauses,0.06
participial clauses pres,0.0
participial clauses past,0.02
all participial clauses,0.02
negations,0.28
question words,0.2
question marks,0.1
subj/pred inversions,0.62
placeholder 'es',0.04
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,103.32
concessive,11.92
conditional,204.3
consecutive,7.62
final,14.84
interrogative,6.12
modal,51.66
other,244.24
temporal,203.9
A1 features,9
A1 features summed,1.3
A2 features,8
A2 features summed,315.58
B1 features,5
B1 features summed,229.62
level features (all),44
level features (all) summed,28.279999999999987
