Feature,Value
words per sent,15.76
LIX,31.622944162436546
# words,788
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5535714285714286
adjectives,0.86
nouns,2.66
verbs,2.22
pronouns,3.32
particles,3.74
punctuation marks,2.94
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.08
aux verbs,0.62
full verbs,1.44
split verbs,0.08
nominative,0.7
accusative,0.86
dative,0.86
genitive,0.08
gen modifiers,0.06
prep with gen,0.0
all genitives,0.06
accusative obj,0.5
dative obj,0.2
genitive obj,0.0
prepositional obj,0.06
acc+dat obj,0.7
gen+prep obj,0.06
present forms,0.78
past forms,0.46
perfect forms,0.06
pqp forms,0.04
perfect+pqp forms,0.22
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.0
subj 1 forms,0.02
subj 2 forms,0.0
subj 2 aux forms,0.02
ind speech,0.0
irrealis mode,0.0
all subj forms,0.04
imperatives,0.0
passive voice,0.02
passive with agens,0.0
comparative,0.06
superlative,0.02
comp+superlative,0.08
conjunctions,0.18
subjunctions,0.1
relative clauses,0.12
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.16
question words,0.14
question marks,0.06
subj/pred inversions,0.52
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,100.18
concessive,11.66
conditional,198.82
consecutive,7.62
final,14.76
interrogative,6.0
modal,50.68
other,239.86
temporal,198.28
A1 features,7
A1 features summed,0.76
A2 features,9
A2 features summed,307.47999999999996
B1 features,6
B1 features summed,223.70000000000002
level features (all),42
level features (all) summed,25.319999999999986
