Feature,Value
words per sent,14.86
LIX,28.72271870794078
# words,743
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.4921875
adjectives,0.98
nouns,2.22
verbs,1.52
pronouns,2.14
particles,4.66
punctuation marks,3.28
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.08
aux verbs,0.3
full verbs,1.12
split verbs,0.1
nominative,0.44
accusative,0.66
dative,0.68
genitive,0.2
gen modifiers,0.04
prep with gen,0.1
all genitives,0.14
accusative obj,0.46
dative obj,0.24
genitive obj,0.0
prepositional obj,0.1
acc+dat obj,0.7
gen+prep obj,0.1
present forms,0.54
past forms,0.34
perfect forms,0.02
pqp forms,0.06
perfect+pqp forms,0.08
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.08
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.04
superlative,0.02
comp+superlative,0.06
conjunctions,0.1
subjunctions,0.06
relative clauses,0.1
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.02
question words,0.12
question marks,0.08
subj/pred inversions,0.36
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,30.6
concessive,2.84
conditional,50.18
consecutive,0.02
final,4.32
interrogative,1.74
modal,15.7
other,80.38
temporal,58.72
A1 features,7
A1 features summed,0.52
A2 features,8
A2 features summed,81.56
B1 features,5
B1 features summed,63.42
level features (all),38
level features (all) summed,22.339999999999996
