Feature,Value
words per sent,12.24
LIX,24.82169934640523
# words,612
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5130208333333334
adjectives,0.62
nouns,2.0
verbs,1.88
pronouns,2.38
particles,2.88
punctuation marks,2.48
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.14
aux verbs,0.3
full verbs,1.34
split verbs,0.14
nominative,0.36
accusative,0.72
dative,0.68
genitive,0.08
gen modifiers,0.08
prep with gen,0.0
all genitives,0.08
accusative obj,0.6
dative obj,0.22
genitive obj,0.0
prepositional obj,0.12
acc+dat obj,0.82
gen+prep obj,0.12
present forms,0.54
past forms,0.62
perfect forms,0.02
pqp forms,0.02
perfect+pqp forms,0.04
past aux forms,0.02
futur 1 forms,0.0
futur 2 forms,0.04
all futur forms,0.02
subj 1 forms,0.02
subj 2 forms,0.0
subj 2 aux forms,0.02
ind speech,0.0
irrealis mode,0.0
all subj forms,0.04
imperatives,0.04
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.02
comp+superlative,0.02
conjunctions,0.18
subjunctions,0.1
relative clauses,0.08
participial clauses pres,0.04
participial clauses past,0.0
all participial clauses,0.04
negations,0.06
question words,0.08
question marks,0.16
subj/pred inversions,0.48
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,30.46
concessive,2.82
conditional,49.9
consecutive,0.02
final,4.28
interrogative,1.74
modal,15.66
other,79.68
temporal,58.14
A1 features,9
A1 features summed,0.8400000000000001
A2 features,8
A2 features summed,81.43999999999998
B1 features,5
B1 features summed,62.8
level features (all),44
level features (all) summed,20.739999999999988
