Feature,Value
words per sent,14.5
LIX,28.155172413793103
# words,725
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5181236673773987
adjectives,1.04
nouns,2.42
verbs,2.1
pronouns,2.84
particles,3.06
punctuation marks,2.96
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.08
aux verbs,0.58
full verbs,1.36
split verbs,0.1
nominative,0.78
accusative,0.76
dative,0.62
genitive,0.2
gen modifiers,0.16
prep with gen,0.0
all genitives,0.18
accusative obj,0.62
dative obj,0.16
genitive obj,0.02
prepositional obj,0.02
acc+dat obj,0.78
gen+prep obj,0.04
present forms,0.86
past forms,0.26
perfect forms,0.08
pqp forms,0.04
perfect+pqp forms,0.08
past aux forms,0.02
futur 1 forms,0.0
futur 2 forms,0.12
all futur forms,0.02
subj 1 forms,0.02
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.02
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.02
superlative,0.04
comp+superlative,0.06
conjunctions,0.14
subjunctions,0.1
relative clauses,0.04
participial clauses pres,0.02
participial clauses past,0.0
all participial clauses,0.02
negations,0.0
question words,0.2
question marks,0.08
subj/pred inversions,0.34
placeholder 'es',0.04
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,28.96
concessive,2.52
conditional,47.5
consecutive,0.02
final,4.06
interrogative,1.66
modal,15.44
other,74.46
temporal,53.48
A1 features,7
A1 features summed,0.7
A2 features,8
A2 features summed,77.1
B1 features,6
B1 features summed,57.739999999999995
level features (all),44
level features (all) summed,23.499999999999996
