Feature,Value
words per sent,15.86
LIX,36.91926860025221
# words,793
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5681381957773513
adjectives,1.34
nouns,3.16
verbs,1.66
pronouns,2.96
particles,3.92
punctuation marks,2.64
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.04
aux verbs,0.34
full verbs,1.24
split verbs,0.2
nominative,0.88
accusative,0.88
dative,0.9
genitive,0.18
gen modifiers,0.18
prep with gen,0.0
all genitives,0.18
accusative obj,0.64
dative obj,0.12
genitive obj,0.0
prepositional obj,0.12
acc+dat obj,0.76
gen+prep obj,0.12
present forms,0.26
past forms,0.74
perfect forms,0.0
pqp forms,0.1
perfect+pqp forms,0.16
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.02
passive voice,0.02
passive with agens,0.0
comparative,0.02
superlative,0.0
comp+superlative,0.02
conjunctions,0.12
subjunctions,0.1
relative clauses,0.18
participial clauses pres,0.0
participial clauses past,0.02
all participial clauses,0.02
negations,0.02
question words,0.08
question marks,0.0
subj/pred inversions,0.68
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,29.66
concessive,2.68
conditional,48.84
consecutive,0.02
final,4.16
interrogative,1.7
modal,15.56
other,76.98
temporal,55.54
A1 features,6
A1 features summed,0.48000000000000004
A2 features,8
A2 features summed,79.7
B1 features,6
B1 features summed,60.14
level features (all),38
level features (all) summed,25.12
