Feature,Value
words per sent,32.66
LIX,49.622645437844454
# words,1633
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.47084708470847086
adjectives,2.86
nouns,4.42
verbs,4.84
pronouns,7.28
particles,9.08
punctuation marks,3.98
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.4
aux verbs,0.84
full verbs,3.52
split verbs,0.46
nominative,1.14
accusative,2.3
dative,1.66
genitive,0.1
gen modifiers,0.08
prep with gen,0.02
all genitives,0.1
accusative obj,1.86
dative obj,0.42
genitive obj,0.0
prepositional obj,0.36
acc+dat obj,2.28
gen+prep obj,0.36
present forms,0.38
past forms,1.88
perfect forms,0.06
pqp forms,0.12
perfect+pqp forms,0.3
past aux forms,0.04
futur 1 forms,0.0
futur 2 forms,0.18
all futur forms,0.04
subj 1 forms,0.12
subj 2 forms,0.0
subj 2 aux forms,0.02
ind speech,0.02
irrealis mode,0.0
all subj forms,0.14
imperatives,0.0
passive voice,0.02
passive with agens,0.0
comparative,0.06
superlative,0.02
comp+superlative,0.08
conjunctions,0.76
subjunctions,0.26
relative clauses,0.48
participial clauses pres,0.02
participial clauses past,0.12
all participial clauses,0.14
negations,0.3
question words,0.1
question marks,0.02
subj/pred inversions,0.72
placeholder 'es',0.04
'brauchen' constr,0.0
'lassen' constr,0.04
'brauchen'+'lassen' constr,0.04
causal,90.94
concessive,10.86
conditional,177.46
consecutive,7.52
final,14.52
interrogative,5.46
modal,46.6
other,222.28
temporal,176.64
A1 features,8
A1 features summed,2.14
A2 features,9
A2 features summed,278.73999999999995
B1 features,6
B1 features summed,200.98
level features (all),51
level features (all) summed,54.88
