Feature,Value
words per sent,28.66
LIX,47.50159106769016
# words,1433
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.4767580452920143
adjectives,2.58
nouns,4.14
verbs,4.28
pronouns,6.0
particles,6.98
punctuation marks,4.56
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.3
aux verbs,0.7
full verbs,3.2
split verbs,0.46
nominative,1.22
accusative,1.66
dative,1.26
genitive,0.22
gen modifiers,0.18
prep with gen,0.0
all genitives,0.18
accusative obj,1.34
dative obj,0.2
genitive obj,0.0
prepositional obj,0.2
acc+dat obj,1.54
gen+prep obj,0.2
present forms,0.54
past forms,1.46
perfect forms,0.08
pqp forms,0.22
perfect+pqp forms,0.4
past aux forms,0.02
futur 1 forms,0.0
futur 2 forms,0.3
all futur forms,0.02
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.02
passive voice,0.0
passive with agens,0.0
comparative,0.14
superlative,0.0
comp+superlative,0.14
conjunctions,0.54
subjunctions,0.14
relative clauses,0.28
participial clauses pres,0.04
participial clauses past,0.04
all participial clauses,0.08
negations,0.28
question words,0.18
question marks,0.04
subj/pred inversions,1.12
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,90.46
concessive,10.76
conditional,175.98
consecutive,7.32
final,14.36
interrogative,5.44
modal,45.88
other,221.14
temporal,174.4
A1 features,9
A1 features summed,1.9200000000000002
A2 features,8
A2 features summed,275.94
B1 features,5
B1 features summed,198.20000000000002
level features (all),42
level features (all) summed,47.480000000000004
