Feature,Value
words per sent,23.94
LIX,40.3978111946533
# words,1197
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5194630872483221
adjectives,2.06
nouns,3.92
verbs,3.32
pronouns,4.92
particles,5.32
punctuation marks,4.36
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.26
aux verbs,0.44
full verbs,2.52
split verbs,0.32
nominative,1.0
accusative,1.52
dative,1.2
genitive,0.32
gen modifiers,0.32
prep with gen,0.0
all genitives,0.32
accusative obj,0.98
dative obj,0.36
genitive obj,0.0
prepositional obj,0.26
acc+dat obj,1.34
gen+prep obj,0.26
present forms,0.86
past forms,1.28
perfect forms,0.06
pqp forms,0.04
perfect+pqp forms,0.06
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.0
subj 1 forms,0.06
subj 2 forms,0.04
subj 2 aux forms,0.0
ind speech,0.02
irrealis mode,0.0
all subj forms,0.1
imperatives,0.1
passive voice,0.0
passive with agens,0.0
comparative,0.04
superlative,0.1
comp+superlative,0.14
conjunctions,0.44
subjunctions,0.14
relative clauses,0.18
participial clauses pres,0.0
participial clauses past,0.04
all participial clauses,0.04
negations,0.14
question words,0.16
question marks,0.1
subj/pred inversions,0.86
placeholder 'es',0.06
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,88.04
concessive,10.18
conditional,169.84
consecutive,6.46
final,14.06
interrogative,5.3
modal,43.1
other,216.1
temporal,165.62
A1 features,8
A1 features summed,1.58
A2 features,8
A2 features summed,266.59999999999997
B1 features,5
B1 features summed,187.74
level features (all),45
level features (all) summed,40.480000000000004
