Feature,Value
words per sent,25.58
LIX,40.66991399530883
# words,1279
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.4609571788413098
adjectives,2.44
nouns,4.46
verbs,3.22
pronouns,4.96
particles,5.76
punctuation marks,4.68
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.04
aux verbs,0.52
full verbs,2.6
split verbs,0.28
nominative,1.16
accusative,1.52
dative,1.42
genitive,0.1
gen modifiers,0.1
prep with gen,0.0
all genitives,0.1
accusative obj,0.98
dative obj,0.26
genitive obj,0.0
prepositional obj,0.34
acc+dat obj,1.24
gen+prep obj,0.34
present forms,0.24
past forms,1.58
perfect forms,0.04
pqp forms,0.16
perfect+pqp forms,0.28
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.2
all futur forms,0.0
subj 1 forms,0.02
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.02
imperatives,0.02
passive voice,0.0
passive with agens,0.0
comparative,0.02
superlative,0.0
comp+superlative,0.02
conjunctions,0.4
subjunctions,0.1
relative clauses,0.44
participial clauses pres,0.06
participial clauses past,0.06
all participial clauses,0.12
negations,0.1
question words,0.22
question marks,0.02
subj/pred inversions,0.62
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,88.28
concessive,10.18
conditional,170.38
consecutive,6.64
final,14.1
interrogative,5.32
modal,43.42
other,216.46
temporal,166.2
A1 features,8
A1 features summed,1.12
A2 features,8
A2 features summed,267.6
B1 features,5
B1 features summed,188.77999999999997
level features (all),42
level features (all) summed,41.260000000000026
