Feature,Value
words per sent,32.18
LIX,50.07931634555625
# words,1609
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.48008849557522126
adjectives,2.4
nouns,4.9
verbs,4.88
pronouns,6.74
particles,8.48
punctuation marks,4.7
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.28
aux verbs,1.16
full verbs,3.34
split verbs,0.26
nominative,1.36
accusative,1.76
dative,1.38
genitive,0.38
gen modifiers,0.36
prep with gen,0.0
all genitives,0.36
accusative obj,1.28
dative obj,0.36
genitive obj,0.0
prepositional obj,0.2
acc+dat obj,1.64
gen+prep obj,0.2
present forms,0.48
past forms,1.52
perfect forms,0.08
pqp forms,0.2
perfect+pqp forms,0.42
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.28
all futur forms,0.0
subj 1 forms,0.06
subj 2 forms,0.1
subj 2 aux forms,0.02
ind speech,0.04
irrealis mode,0.02
all subj forms,0.18
imperatives,0.02
passive voice,0.02
passive with agens,0.02
comparative,0.1
superlative,0.08
comp+superlative,0.18
conjunctions,0.66
subjunctions,0.3
relative clauses,0.52
participial clauses pres,0.0
participial clauses past,0.08
all participial clauses,0.08
negations,0.42
question words,0.34
question marks,0.06
subj/pred inversions,0.68
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.02
'brauchen'+'lassen' constr,0.02
causal,86.2
concessive,9.68
conditional,163.64
consecutive,5.92
final,13.66
interrogative,4.98
modal,40.46
other,211.26
temporal,156.46
A1 features,8
A1 features summed,2.1200000000000006
A2 features,9
A2 features summed,258.32
B1 features,7
B1 features summed,177.60000000000005
level features (all),51
level features (all) summed,53.44000000000003
