Feature,Value
words per sent,20.72
LIX,39.15629343629344
# words,1036
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.4936507936507937
adjectives,1.42
nouns,3.14
verbs,3.14
pronouns,4.4
particles,4.86
punctuation marks,3.64
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.2
aux verbs,0.56
full verbs,2.32
split verbs,0.3
nominative,0.84
accusative,1.18
dative,0.94
genitive,0.3
gen modifiers,0.24
prep with gen,0.0
all genitives,0.28
accusative obj,1.02
dative obj,0.34
genitive obj,0.04
prepositional obj,0.16
acc+dat obj,1.36
gen+prep obj,0.2
present forms,0.58
past forms,0.88
perfect forms,0.06
pqp forms,0.1
perfect+pqp forms,0.16
past aux forms,0.02
futur 1 forms,0.0
futur 2 forms,0.16
all futur forms,0.02
subj 1 forms,0.04
subj 2 forms,0.02
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.06
imperatives,0.02
passive voice,0.02
passive with agens,0.02
comparative,0.06
superlative,0.02
comp+superlative,0.08
conjunctions,0.3
subjunctions,0.2
relative clauses,0.22
participial clauses pres,0.02
participial clauses past,0.08
all participial clauses,0.1
negations,0.24
question words,0.14
question marks,0.12
subj/pred inversions,0.56
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,90.86
concessive,10.8
conditional,176.78
consecutive,7.48
final,14.5
interrogative,5.44
modal,46.18
other,221.8
temporal,175.76
A1 features,9
A1 features summed,1.4000000000000001
A2 features,8
A2 features summed,276.8
B1 features,8
B1 features summed,199.78
level features (all),50
level features (all) summed,35.200000000000024
