Feature,Value
words per sent,28.84
LIX,42.29353675450763
# words,1442
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.38095238095238093
adjectives,1.58
nouns,4.32
verbs,5.2
pronouns,6.52
particles,6.74
punctuation marks,4.24
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.24
aux verbs,1.14
full verbs,3.66
split verbs,0.44
nominative,1.22
accusative,2.12
dative,0.96
genitive,0.14
gen modifiers,0.1
prep with gen,0.0
all genitives,0.1
accusative obj,1.64
dative obj,0.3
genitive obj,0.0
prepositional obj,0.42
acc+dat obj,1.94
gen+prep obj,0.42
present forms,0.78
past forms,1.94
perfect forms,0.1
pqp forms,0.12
perfect+pqp forms,0.48
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.22
all futur forms,0.0
subj 1 forms,0.04
subj 2 forms,0.04
subj 2 aux forms,0.0
ind speech,0.02
irrealis mode,0.0
all subj forms,0.08
imperatives,0.06
passive voice,0.02
passive with agens,0.0
comparative,0.04
superlative,0.02
comp+superlative,0.06
conjunctions,0.8
subjunctions,0.28
relative clauses,0.22
participial clauses pres,0.0
participial clauses past,0.04
all participial clauses,0.04
negations,0.18
question words,0.22
question marks,0.02
subj/pred inversions,0.98
placeholder 'es',0.04
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,24.56
concessive,2.2
conditional,39.32
consecutive,0.02
final,2.9
interrogative,1.48
modal,14.86
other,56.12
temporal,39.78
A1 features,8
A1 features summed,2.06
A2 features,8
A2 features summed,66.69999999999999
B1 features,6
B1 features summed,43.720000000000006
level features (all),46
level features (all) summed,50.279999999999994
