Feature,Value
words per sent,17.2
LIX,28.47906976744186
# words,860
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.39925373134328357
adjectives,1.28
nouns,2.52
verbs,2.72
pronouns,4.06
particles,3.1
punctuation marks,3.5
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.18
aux verbs,0.6
full verbs,1.9
split verbs,0.08
nominative,0.92
accusative,1.02
dative,0.82
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,0.68
dative obj,0.34
genitive obj,0.0
prepositional obj,0.18
acc+dat obj,1.02
gen+prep obj,0.18
present forms,0.52
past forms,0.82
perfect forms,0.04
pqp forms,0.08
perfect+pqp forms,0.24
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.12
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.02
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.02
imperatives,0.04
passive voice,0.0
passive with agens,0.0
comparative,0.02
superlative,0.04
comp+superlative,0.06
conjunctions,0.14
subjunctions,0.14
relative clauses,0.12
participial clauses pres,0.0
participial clauses past,0.1
all participial clauses,0.1
negations,0.08
question words,0.18
question marks,0.14
subj/pred inversions,0.74
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,24.3
concessive,2.2
conditional,37.6
consecutive,0.02
final,2.76
interrogative,1.46
modal,14.74
other,54.1
temporal,38.42
A1 features,8
A1 features summed,0.8800000000000001
A2 features,7
A2 features summed,63.28000000000001
B1 features,5
B1 features summed,42.22
level features (all),40
level features (all) summed,28.879999999999992
