Feature,Value
words per sent,22.08
LIX,32.22492753623188
# words,1104
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.36335877862595417
adjectives,0.84
nouns,2.16
verbs,3.86
pronouns,5.06
particles,4.94
punctuation marks,5.06
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.4
aux verbs,0.56
full verbs,2.74
split verbs,0.34
nominative,0.7
accusative,1.44
dative,0.7
genitive,0.04
gen modifiers,0.0
prep with gen,0.02
all genitives,0.02
accusative obj,1.2
dative obj,0.26
genitive obj,0.0
prepositional obj,0.24
acc+dat obj,1.46
gen+prep obj,0.24
present forms,0.66
past forms,1.76
perfect forms,0.08
pqp forms,0.04
perfect+pqp forms,0.08
past aux forms,0.02
futur 1 forms,0.0
futur 2 forms,0.12
all futur forms,0.02
subj 1 forms,0.0
subj 2 forms,0.06
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.06
imperatives,0.1
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.02
comp+superlative,0.02
conjunctions,0.48
subjunctions,0.28
relative clauses,0.24
participial clauses pres,0.0
participial clauses past,0.06
all participial clauses,0.06
negations,0.32
question words,0.26
question marks,0.18
subj/pred inversions,1.04
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,26.0
concessive,2.24
conditional,42.02
consecutive,0.02
final,3.42
interrogative,1.52
modal,15.06
other,61.02
temporal,42.88
A1 features,9
A1 features summed,2.18
A2 features,6
A2 features summed,70.3
B1 features,5
B1 features summed,46.900000000000006
level features (all),44
level features (all) summed,38.260000000000005
