Feature,Value
words per sent,14.84
LIX,28.451859838274935
# words,742
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.42035398230088494
adjectives,0.74
nouns,2.3
verbs,2.5
pronouns,3.32
particles,2.94
punctuation marks,3.02
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.16
aux verbs,0.58
full verbs,1.76
split verbs,0.12
nominative,0.62
accusative,0.92
dative,0.76
genitive,0.06
gen modifiers,0.04
prep with gen,0.0
all genitives,0.06
accusative obj,0.78
dative obj,0.18
genitive obj,0.02
prepositional obj,0.2
acc+dat obj,0.96
gen+prep obj,0.22
present forms,0.72
past forms,0.7
perfect forms,0.1
pqp forms,0.04
perfect+pqp forms,0.12
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.14
all futur forms,0.0
subj 1 forms,0.02
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.02
imperatives,0.02
passive voice,0.04
passive with agens,0.0
comparative,0.06
superlative,0.0
comp+superlative,0.06
conjunctions,0.24
subjunctions,0.1
relative clauses,0.06
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.24
question words,0.18
question marks,0.08
subj/pred inversions,0.62
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,26.96
concessive,2.24
conditional,43.86
consecutive,0.02
final,3.64
interrogative,1.58
modal,15.2
other,64.96
temporal,45.62
A1 features,8
A1 features summed,1.1400000000000001
A2 features,8
A2 features summed,72.02000000000001
B1 features,7
B1 features summed,49.58
level features (all),41
level features (all) summed,25.819999999999993
