Feature,Value
words per sent,21.82
LIX,34.652263978001834
# words,1091
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.3936
adjectives,0.9
nouns,3.2
verbs,3.98
pronouns,5.22
particles,4.22
punctuation marks,4.26
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.32
aux verbs,0.7
full verbs,2.94
split verbs,0.3
nominative,1.24
accusative,1.68
dative,0.88
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,1.3
dative obj,0.42
genitive obj,0.0
prepositional obj,0.3
acc+dat obj,1.72
gen+prep obj,0.3
present forms,0.64
past forms,1.52
perfect forms,0.08
pqp forms,0.16
perfect+pqp forms,0.34
past aux forms,0.02
futur 1 forms,0.0
futur 2 forms,0.24
all futur forms,0.02
subj 1 forms,0.02
subj 2 forms,0.04
subj 2 aux forms,0.0
ind speech,0.04
irrealis mode,0.0
all subj forms,0.06
imperatives,0.02
passive voice,0.0
passive with agens,0.0
comparative,0.06
superlative,0.0
comp+superlative,0.06
conjunctions,0.64
subjunctions,0.26
relative clauses,0.22
participial clauses pres,0.0
participial clauses past,0.02
all participial clauses,0.02
negations,0.14
question words,0.2
question marks,0.08
subj/pred inversions,0.82
placeholder 'es',0.12
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,24.12
concessive,2.2
conditional,37.16
consecutive,0.02
final,2.7
interrogative,1.46
modal,14.72
other,53.36
temporal,38.08
A1 features,9
A1 features summed,1.8
A2 features,7
A2 features summed,63.6
B1 features,5
B1 features summed,41.98
level features (all),43
level features (all) summed,39.72000000000003
