Feature,Value
words per sent,30.86
LIX,46.02526247569669
# words,1543
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.4312638580931264
adjectives,2.28
nouns,4.46
verbs,5.6
pronouns,6.48
particles,6.76
punctuation marks,5.2
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.6
aux verbs,1.46
full verbs,3.24
split verbs,0.12
nominative,1.54
accusative,1.74
dative,1.38
genitive,0.2
gen modifiers,0.12
prep with gen,0.0
all genitives,0.14
accusative obj,1.46
dative obj,0.5
genitive obj,0.04
prepositional obj,0.28
acc+dat obj,1.96
gen+prep obj,0.32
present forms,0.76
past forms,1.2
perfect forms,0.08
pqp forms,0.02
perfect+pqp forms,0.18
past aux forms,0.02
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.02
subj 1 forms,0.7
subj 2 forms,0.2
subj 2 aux forms,0.26
ind speech,0.0
irrealis mode,0.04
all subj forms,1.16
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.08
superlative,0.06
comp+superlative,0.14
conjunctions,0.26
subjunctions,0.32
relative clauses,0.12
participial clauses pres,0.0
participial clauses past,0.02
all participial clauses,0.02
negations,0.4
question words,0.48
question marks,0.1
subj/pred inversions,0.9
placeholder 'es',0.12
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,62.84
concessive,6.26
conditional,116.62
consecutive,0.08
final,9.1
interrogative,3.58
modal,33.36
other,152.46
temporal,122.38
A1 features,8
A1 features summed,2.06
A2 features,9
A2 features summed,181.98000000000002
B1 features,6
B1 features summed,132.46
level features (all),48
level features (all) summed,53.64000000000001
