Feature,Value
words per sent,38.0
LIX,56.84210526315789
# words,1900
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.453125
adjectives,2.8
nouns,7.48
verbs,5.62
pronouns,8.88
particles,7.84
punctuation marks,5.34
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.26
aux verbs,0.9
full verbs,4.36
split verbs,0.44
nominative,2.24
accusative,2.24
dative,2.24
genitive,0.8
gen modifiers,0.36
prep with gen,0.18
all genitives,0.54
accusative obj,1.66
dative obj,0.62
genitive obj,0.0
prepositional obj,0.24
acc+dat obj,2.28
gen+prep obj,0.24
present forms,0.96
past forms,2.26
perfect forms,0.04
pqp forms,0.16
perfect+pqp forms,0.56
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.2
all futur forms,0.0
subj 1 forms,0.32
subj 2 forms,0.08
subj 2 aux forms,0.1
ind speech,0.04
irrealis mode,0.0
all subj forms,0.5
imperatives,0.02
passive voice,0.0
passive with agens,0.0
comparative,0.16
superlative,0.08
comp+superlative,0.24
conjunctions,0.74
subjunctions,0.36
relative clauses,1.08
participial clauses pres,0.0
participial clauses past,0.1
all participial clauses,0.1
negations,0.54
question words,0.38
question marks,0.0
subj/pred inversions,1.26
placeholder 'es',0.04
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,59.2
concessive,5.72
conditional,92.5
consecutive,0.02
final,8.2
interrogative,3.14
modal,30.4
other,140.32
temporal,111.04
A1 features,7
A1 features summed,2.4200000000000004
A2 features,9
A2 features summed,155.46000000000004
B1 features,5
B1 features summed,121.0
level features (all),46
level features (all) summed,67.88
