Feature,Value
words per sent,32.54
LIX,54.728076213890596
# words,1627
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.49240121580547114
adjectives,3.56
nouns,6.9
verbs,4.0
pronouns,6.78
particles,7.12
punctuation marks,3.98
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.2
aux verbs,0.56
full verbs,3.16
split verbs,0.38
nominative,1.48
accusative,2.3
dative,2.28
genitive,0.58
gen modifiers,0.4
prep with gen,0.06
all genitives,0.48
accusative obj,1.6
dative obj,0.54
genitive obj,0.02
prepositional obj,0.18
acc+dat obj,2.14
gen+prep obj,0.2
present forms,0.4
past forms,1.92
perfect forms,0.02
pqp forms,0.06
perfect+pqp forms,0.28
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.08
all futur forms,0.0
subj 1 forms,0.08
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.08
imperatives,0.0
passive voice,0.02
passive with agens,0.0
comparative,0.16
superlative,0.06
comp+superlative,0.22
conjunctions,0.48
subjunctions,0.2
relative clauses,0.3
participial clauses pres,0.1
participial clauses past,0.14
all participial clauses,0.24
negations,0.32
question words,0.18
question marks,0.06
subj/pred inversions,0.8
placeholder 'es',0.06
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,62.28
concessive,6.18
conditional,113.52
consecutive,0.08
final,8.9
interrogative,3.56
modal,32.78
other,150.48
temporal,121.08
A1 features,7
A1 features summed,1.64
A2 features,8
A2 features summed,179.08
B1 features,7
B1 features summed,131.24
level features (all),46
level features (all) summed,55.16000000000001
