Feature,Value
words per sent,31.1
LIX,53.157877813504825
# words,1555
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5287356321839081
adjectives,2.62
nouns,5.84
verbs,4.38
pronouns,6.82
particles,6.14
punctuation marks,5.28
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.18
aux verbs,0.86
full verbs,3.24
split verbs,0.26
nominative,1.62
accusative,1.84
dative,1.46
genitive,0.62
gen modifiers,0.52
prep with gen,0.02
all genitives,0.56
accusative obj,1.26
dative obj,0.36
genitive obj,0.02
prepositional obj,0.32
acc+dat obj,1.62
gen+prep obj,0.34
present forms,0.52
past forms,1.52
perfect forms,0.04
pqp forms,0.18
perfect+pqp forms,0.46
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.22
all futur forms,0.0
subj 1 forms,0.08
subj 2 forms,0.02
subj 2 aux forms,0.04
ind speech,0.0
irrealis mode,0.0
all subj forms,0.14
imperatives,0.06
passive voice,0.02
passive with agens,0.0
comparative,0.0
superlative,0.08
comp+superlative,0.08
conjunctions,0.3
subjunctions,0.16
relative clauses,0.44
participial clauses pres,0.1
participial clauses past,0.12
all participial clauses,0.22
negations,0.14
question words,0.1
question marks,0.06
subj/pred inversions,0.86
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,41.16
concessive,3.74
conditional,63.6
consecutive,0.02
final,6.04
interrogative,2.28
modal,19.68
other,99.8
temporal,80.68
A1 features,8
A1 features summed,1.1400000000000001
A2 features,8
A2 features summed,107.54
B1 features,7
B1 features summed,87.2
level features (all),47
level features (all) summed,52.140000000000015
