Feature,Value
words per sent,14.46
LIX,33.40882434301521
# words,723
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5571725571725572
adjectives,1.26
nouns,2.34
verbs,1.88
pronouns,3.1
particles,2.84
punctuation marks,3.04
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.1
aux verbs,0.3
full verbs,1.44
split verbs,0.16
nominative,0.52
accusative,0.84
dative,0.94
genitive,0.02
gen modifiers,0.02
prep with gen,0.0
all genitives,0.02
accusative obj,0.66
dative obj,0.36
genitive obj,0.0
prepositional obj,0.14
acc+dat obj,1.02
gen+prep obj,0.14
present forms,0.9
past forms,0.2
perfect forms,0.12
pqp forms,0.02
perfect+pqp forms,0.02
past aux forms,0.02
futur 1 forms,0.0
futur 2 forms,0.14
all futur forms,0.02
subj 1 forms,0.02
subj 2 forms,0.02
subj 2 aux forms,0.02
ind speech,0.0
irrealis mode,0.0
all subj forms,0.06
imperatives,0.04
passive voice,0.0
passive with agens,0.0
comparative,0.02
superlative,0.02
comp+superlative,0.04
conjunctions,0.1
subjunctions,0.08
relative clauses,0.1
participial clauses pres,0.04
participial clauses past,0.04
all participial clauses,0.08
negations,0.16
question words,0.16
question marks,0.26
subj/pred inversions,0.3
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,45.6
concessive,3.86
conditional,68.76
consecutive,0.02
final,6.48
interrogative,2.58
modal,23.62
other,109.1
temporal,88.12
A1 features,9
A1 features summed,1.12
A2 features,9
A2 features summed,115.14
B1 features,5
B1 features summed,94.67999999999999
level features (all),48
level features (all) summed,24.159999999999993
