Feature,Value
words per sent,38.88
LIX,58.06724279835392
# words,1944
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.468615649183147
adjectives,3.28
nouns,6.12
verbs,5.62
pronouns,8.48
particles,8.4
punctuation marks,6.86
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.34
aux verbs,1.36
full verbs,3.84
split verbs,0.2
nominative,1.76
accusative,2.26
dative,2.18
genitive,0.42
gen modifiers,0.34
prep with gen,0.0
all genitives,0.36
accusative obj,1.68
dative obj,0.72
genitive obj,0.02
prepositional obj,0.36
acc+dat obj,2.4
gen+prep obj,0.38
present forms,1.54
past forms,1.26
perfect forms,0.32
pqp forms,0.04
perfect+pqp forms,0.16
past aux forms,0.04
futur 1 forms,0.0
futur 2 forms,0.36
all futur forms,0.04
subj 1 forms,0.18
subj 2 forms,0.04
subj 2 aux forms,0.08
ind speech,0.0
irrealis mode,0.0
all subj forms,0.3
imperatives,0.02
passive voice,0.02
passive with agens,0.0
comparative,0.12
superlative,0.1
comp+superlative,0.22
conjunctions,0.6
subjunctions,0.2
relative clauses,0.74
participial clauses pres,0.02
participial clauses past,0.06
all participial clauses,0.08
negations,0.24
question words,0.3
question marks,0.04
subj/pred inversions,1.04
placeholder 'es',0.08
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,43.08
concessive,3.82
conditional,65.96
consecutive,0.02
final,6.24
interrogative,2.44
modal,21.6
other,104.24
temporal,84.58
A1 features,9
A1 features summed,2.1
A2 features,9
A2 features summed,111.94
B1 features,7
B1 features summed,91.63999999999999
level features (all),50
level features (all) summed,65.62
