Feature,Value
words per sent,26.54
LIX,45.379487565938206
# words,1327
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5110821382007823
adjectives,1.76
nouns,4.14
verbs,4.2
pronouns,6.42
particles,5.5
punctuation marks,4.48
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.34
aux verbs,0.7
full verbs,3.0
split verbs,0.26
nominative,0.98
accusative,1.7
dative,1.72
genitive,0.28
gen modifiers,0.2
prep with gen,0.04
all genitives,0.24
accusative obj,1.38
dative obj,0.54
genitive obj,0.0
prepositional obj,0.26
acc+dat obj,1.92
gen+prep obj,0.26
present forms,0.68
past forms,1.56
perfect forms,0.02
pqp forms,0.1
perfect+pqp forms,0.34
past aux forms,0.06
futur 1 forms,0.0
futur 2 forms,0.12
all futur forms,0.06
subj 1 forms,0.18
subj 2 forms,0.02
subj 2 aux forms,0.08
ind speech,0.0
irrealis mode,0.0
all subj forms,0.28
imperatives,0.0
passive voice,0.04
passive with agens,0.02
comparative,0.06
superlative,0.06
comp+superlative,0.12
conjunctions,0.46
subjunctions,0.28
relative clauses,0.5
participial clauses pres,0.06
participial clauses past,0.06
all participial clauses,0.12
negations,0.22
question words,0.22
question marks,0.08
subj/pred inversions,0.72
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,41.32
concessive,3.74
conditional,63.72
consecutive,0.02
final,6.04
interrogative,2.3
modal,19.74
other,100.02
temporal,80.94
A1 features,8
A1 features summed,1.6600000000000001
A2 features,9
A2 features summed,107.76
B1 features,7
B1 features summed,87.56
level features (all),49
level features (all) summed,46.840000000000025
