Feature,Value
words per sent,42.3
LIX,65.23144208037824
# words,2115
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.45707472178060415
adjectives,3.96
nouns,6.2
verbs,5.68
pronouns,9.5
particles,10.38
punctuation marks,6.48
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.48
aux verbs,0.68
full verbs,4.4
split verbs,0.42
nominative,1.32
accusative,2.76
dative,2.2
genitive,0.68
gen modifiers,0.64
prep with gen,0.0
all genitives,0.66
accusative obj,1.92
dative obj,0.78
genitive obj,0.02
prepositional obj,0.36
acc+dat obj,2.7
gen+prep obj,0.38
present forms,1.8
past forms,1.56
perfect forms,0.12
pqp forms,0.02
perfect+pqp forms,0.1
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.14
all futur forms,0.0
subj 1 forms,0.1
subj 2 forms,0.04
subj 2 aux forms,0.02
ind speech,0.02
irrealis mode,0.0
all subj forms,0.16
imperatives,0.02
passive voice,0.02
passive with agens,0.0
comparative,0.18
superlative,0.04
comp+superlative,0.22
conjunctions,0.42
subjunctions,0.24
relative clauses,0.98
participial clauses pres,0.02
participial clauses past,0.06
all participial clauses,0.08
negations,0.3
question words,0.1
question marks,0.02
subj/pred inversions,1.14
placeholder 'es',0.08
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,43.58
concessive,3.82
conditional,66.64
consecutive,0.02
final,6.26
interrogative,2.5
modal,22.12
other,105.56
temporal,85.68
A1 features,8
A1 features summed,1.88
A2 features,9
A2 features summed,113.77999999999999
B1 features,7
B1 features summed,93.04
level features (all),49
level features (all) summed,70.59999999999998
