Feature,Value
words per sent,18.98
LIX,34.78611169652265
# words,949
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.48226950354609927
adjectives,1.0
nouns,2.32
verbs,3.16
pronouns,4.68
particles,4.28
punctuation marks,3.5
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.34
aux verbs,0.5
full verbs,2.22
split verbs,0.38
nominative,0.6
accusative,1.08
dative,1.0
genitive,0.2
gen modifiers,0.16
prep with gen,0.0
all genitives,0.18
accusative obj,0.96
dative obj,0.36
genitive obj,0.02
prepositional obj,0.12
acc+dat obj,1.32
gen+prep obj,0.14
present forms,1.36
past forms,0.5
perfect forms,0.08
pqp forms,0.02
perfect+pqp forms,0.12
past aux forms,0.02
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.02
subj 1 forms,0.06
subj 2 forms,0.02
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.08
imperatives,0.06
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.2
subjunctions,0.18
relative clauses,0.2
participial clauses pres,0.02
participial clauses past,0.04
all participial clauses,0.06
negations,0.24
question words,0.18
question marks,0.14
subj/pred inversions,0.66
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,47.08
concessive,3.88
conditional,70.56
consecutive,0.02
final,6.7
interrogative,2.62
modal,25.1
other,112.0
temporal,91.1
A1 features,9
A1 features summed,1.6400000000000003
A2 features,7
A2 features summed,118.8
B1 features,6
B1 features summed,97.84
level features (all),44
level features (all) summed,32.87999999999999
