Feature,Value
words per sent,31.88
LIX,55.970338770388956
# words,1594
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5197969543147208
adjectives,2.7
nouns,6.32
verbs,4.06
pronouns,7.2
particles,6.32
punctuation marks,5.22
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.18
aux verbs,0.7
full verbs,3.1
split verbs,0.06
nominative,2.18
accusative,1.86
dative,1.58
genitive,0.64
gen modifiers,0.5
prep with gen,0.02
all genitives,0.52
accusative obj,1.28
dative obj,0.42
genitive obj,0.0
prepositional obj,0.26
acc+dat obj,1.7
gen+prep obj,0.26
present forms,0.54
past forms,1.64
perfect forms,0.02
pqp forms,0.08
perfect+pqp forms,0.24
past aux forms,0.04
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.04
subj 1 forms,0.2
subj 2 forms,0.04
subj 2 aux forms,0.08
ind speech,0.0
irrealis mode,0.0
all subj forms,0.32
imperatives,0.02
passive voice,0.04
passive with agens,0.0
comparative,0.06
superlative,0.16
comp+superlative,0.22
conjunctions,0.48
subjunctions,0.12
relative clauses,0.46
participial clauses pres,0.08
participial clauses past,0.12
all participial clauses,0.2
negations,0.06
question words,0.12
question marks,0.02
subj/pred inversions,0.76
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,41.64
concessive,3.78
conditional,64.14
consecutive,0.02
final,6.06
interrogative,2.32
modal,20.08
other,100.72
temporal,81.72
A1 features,9
A1 features summed,1.0
A2 features,9
A2 features summed,108.75999999999999
B1 features,6
B1 features summed,88.34
level features (all),49
level features (all) summed,53.34
