Feature,Value
words per sent,33.54
LIX,55.782098986285035
# words,1677
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5886673662119623
adjectives,2.44
nouns,5.96
verbs,4.28
pronouns,7.66
particles,8.06
punctuation marks,4.88
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.28
aux verbs,0.88
full verbs,3.02
split verbs,0.14
nominative,1.26
accusative,1.9
dative,1.88
genitive,0.54
gen modifiers,0.32
prep with gen,0.0
all genitives,0.38
accusative obj,1.3
dative obj,0.54
genitive obj,0.06
prepositional obj,0.32
acc+dat obj,1.84
gen+prep obj,0.38
present forms,1.08
past forms,1.06
perfect forms,0.0
pqp forms,0.04
perfect+pqp forms,0.28
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.04
all futur forms,0.0
subj 1 forms,0.24
subj 2 forms,0.12
subj 2 aux forms,0.08
ind speech,0.0
irrealis mode,0.0
all subj forms,0.44
imperatives,0.04
passive voice,0.0
passive with agens,0.0
comparative,0.12
superlative,0.08
comp+superlative,0.2
conjunctions,0.42
subjunctions,0.28
relative clauses,0.52
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.18
question words,0.26
question marks,0.02
subj/pred inversions,0.44
placeholder 'es',0.0
'brauchen' constr,0.04
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.04
causal,140.14
concessive,17.88
conditional,262.76
consecutive,7.7
final,17.98
interrogative,8.3
modal,64.54
other,313.4
temporal,257.4
A1 features,7
A1 features summed,1.34
A2 features,9
A2 features summed,413.0399999999999
B1 features,6
B1 features summed,291.85999999999996
level features (all),44
level features (all) summed,54.34000000000001
