Feature,Value
words per sent,54.54
LIX,74.67201320132013
# words,2727
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.531084656084656
adjectives,4.8
nouns,10.18
verbs,6.6
pronouns,12.3
particles,13.38
punctuation marks,6.92
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.34
aux verbs,1.5
full verbs,4.6
split verbs,0.38
nominative,2.22
accusative,3.46
dative,2.72
genitive,1.12
gen modifiers,1.02
prep with gen,0.02
all genitives,1.04
accusative obj,2.3
dative obj,0.38
genitive obj,0.0
prepositional obj,0.52
acc+dat obj,2.68
gen+prep obj,0.52
present forms,1.24
past forms,1.56
perfect forms,0.06
pqp forms,0.24
perfect+pqp forms,0.48
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.3
all futur forms,0.0
subj 1 forms,0.44
subj 2 forms,0.06
subj 2 aux forms,0.18
ind speech,0.0
irrealis mode,0.0
all subj forms,0.68
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.18
superlative,0.08
comp+superlative,0.26
conjunctions,0.94
subjunctions,0.5
relative clauses,2.62
participial clauses pres,0.0
participial clauses past,0.04
all participial clauses,0.04
negations,0.4
question words,0.4
question marks,0.1
subj/pred inversions,0.94
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,167.72
concessive,19.18
conditional,291.1
consecutive,8.08
final,21.68
interrogative,9.8
modal,67.42
other,336.08
temporal,272.7
A1 features,7
A1 features summed,2.6199999999999997
A2 features,9
A2 features summed,470.74
B1 features,5
B1 features summed,312.38
level features (all),44
level features (all) summed,90.74000000000004
