Feature,Value
words per sent,38.48
LIX,62.02469854469854
# words,1924
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5754001684919966
adjectives,3.56
nouns,8.22
verbs,3.98
pronouns,7.04
particles,9.94
punctuation marks,5.5
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.16
aux verbs,0.72
full verbs,2.84
split verbs,0.14
nominative,1.7
accusative,2.04
dative,2.26
genitive,0.86
gen modifiers,0.72
prep with gen,0.04
all genitives,0.76
accusative obj,1.12
dative obj,0.38
genitive obj,0.0
prepositional obj,0.18
acc+dat obj,1.5
gen+prep obj,0.18
present forms,1.98
past forms,0.22
perfect forms,0.06
pqp forms,0.0
perfect+pqp forms,0.04
past aux forms,0.02
futur 1 forms,0.0
futur 2 forms,0.06
all futur forms,0.02
subj 1 forms,0.14
subj 2 forms,0.06
subj 2 aux forms,0.04
ind speech,0.0
irrealis mode,0.02
all subj forms,0.24
imperatives,0.0
passive voice,0.04
passive with agens,0.0
comparative,0.18
superlative,0.14
comp+superlative,0.32
conjunctions,0.32
subjunctions,0.26
relative clauses,0.16
participial clauses pres,0.02
participial clauses past,0.06
all participial clauses,0.08
negations,0.18
question words,0.24
question marks,0.16
subj/pred inversions,0.8
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,143.52
concessive,18.02
conditional,266.22
consecutive,7.74
final,18.54
interrogative,8.54
modal,64.86
other,316.18
temporal,259.64
A1 features,8
A1 features summed,1.28
A2 features,9
A2 features summed,419.2000000000001
B1 features,6
B1 features summed,294.14000000000004
level features (all),48
level features (all) summed,59.699999999999996
