Feature,Value
words per sent,37.94
LIX,60.660084343700575
# words,1897
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5837231057062675
adjectives,3.48
nouns,7.34
verbs,3.94
pronouns,8.94
particles,9.24
punctuation marks,4.74
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.22
aux verbs,0.72
full verbs,3.0
split verbs,0.26
nominative,1.24
accusative,2.64
dative,2.12
genitive,1.1
gen modifiers,0.88
prep with gen,0.0
all genitives,0.88
accusative obj,1.84
dative obj,0.5
genitive obj,0.0
prepositional obj,0.26
acc+dat obj,2.34
gen+prep obj,0.26
present forms,1.02
past forms,0.86
perfect forms,0.04
pqp forms,0.12
perfect+pqp forms,0.22
past aux forms,0.02
futur 1 forms,0.0
futur 2 forms,0.16
all futur forms,0.02
subj 1 forms,0.12
subj 2 forms,0.04
subj 2 aux forms,0.08
ind speech,0.0
irrealis mode,0.0
all subj forms,0.24
imperatives,0.02
passive voice,0.08
passive with agens,0.04
comparative,0.16
superlative,0.04
comp+superlative,0.2
conjunctions,0.32
subjunctions,0.28
relative clauses,0.54
participial clauses pres,0.0
participial clauses past,0.04
all participial clauses,0.04
negations,0.32
question words,0.14
question marks,0.04
subj/pred inversions,0.74
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,142.9
concessive,18.0
conditional,265.64
consecutive,7.74
final,18.44
interrogative,8.44
modal,64.82
other,315.66
temporal,259.28
A1 features,9
A1 features summed,1.3800000000000001
A2 features,9
A2 features summed,419.02
B1 features,7
B1 features summed,294.12
level features (all),48
level features (all) summed,61.88
