Feature,Value
words per sent,42.0
LIX,64.85714285714286
# words,2100
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.524247491638796
adjectives,4.04
nouns,7.4
verbs,4.6
pronouns,9.54
particles,10.18
punctuation marks,6.06
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.34
aux verbs,1.24
full verbs,2.88
split verbs,0.18
nominative,1.74
accusative,2.44
dative,1.78
genitive,1.04
gen modifiers,0.84
prep with gen,0.06
all genitives,0.9
accusative obj,1.28
dative obj,0.44
genitive obj,0.0
prepositional obj,0.22
acc+dat obj,1.72
gen+prep obj,0.22
present forms,1.88
past forms,0.24
perfect forms,0.04
pqp forms,0.0
perfect+pqp forms,0.06
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.04
all futur forms,0.0
subj 1 forms,0.22
subj 2 forms,0.1
subj 2 aux forms,0.04
ind speech,0.0
irrealis mode,0.0
all subj forms,0.36
imperatives,0.02
passive voice,0.02
passive with agens,0.0
comparative,0.26
superlative,0.18
comp+superlative,0.44
conjunctions,0.26
subjunctions,0.26
relative clauses,0.52
participial clauses pres,0.04
participial clauses past,0.02
all participial clauses,0.06
negations,0.38
question words,0.26
question marks,0.08
subj/pred inversions,0.68
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,160.24
concessive,18.74
conditional,282.74
consecutive,7.96
final,20.5
interrogative,9.3
modal,66.6
other,329.4
temporal,268.26
A1 features,8
A1 features summed,1.56
A2 features,9
A2 features summed,452.97999999999996
B1 features,6
B1 features summed,304.79999999999995
level features (all),47
level features (all) summed,65.62000000000002
