Feature,Value
words per sent,42.88
LIX,67.6934328358209
# words,2144
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5792988313856428
adjectives,3.56
nouns,9.12
verbs,5.18
pronouns,10.06
particles,10.46
punctuation marks,4.44
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.1
aux verbs,1.08
full verbs,3.98
split verbs,0.2
nominative,2.1
accusative,2.52
dative,2.96
genitive,1.34
gen modifiers,1.04
prep with gen,0.08
all genitives,1.16
accusative obj,1.64
dative obj,0.42
genitive obj,0.06
prepositional obj,0.4
acc+dat obj,2.06
gen+prep obj,0.46
present forms,0.16
past forms,2.0
perfect forms,0.0
pqp forms,0.4
perfect+pqp forms,0.76
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.4
all futur forms,0.0
subj 1 forms,0.06
subj 2 forms,0.0
subj 2 aux forms,0.04
ind speech,0.0
irrealis mode,0.02
all subj forms,0.1
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.04
superlative,0.0
comp+superlative,0.04
conjunctions,0.58
subjunctions,0.46
relative clauses,0.76
participial clauses pres,0.06
participial clauses past,0.06
all participial clauses,0.12
negations,0.08
question words,0.26
question marks,0.0
subj/pred inversions,0.74
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,131.16
concessive,17.26
conditional,253.82
consecutive,7.62
final,16.88
interrogative,8.04
modal,63.14
other,304.52
temporal,251.46
A1 features,5
A1 features summed,1.2200000000000002
A2 features,9
A2 features summed,396.5400000000001
B1 features,6
B1 features summed,285.2
level features (all),44
level features (all) summed,71.58000000000003
